"Happy Thanksgiving::: Cougars!

New Brigham Young University research suggests gratitude to God — and an indebtedness to Him — is far more meaningful and impactful than simply gratitude alone.

Read more here:

THECHURCHNEWS.COM
BYU research suggests how to have a deeper::: richer gratitude this Thanksgiving",11/25/2021 16:49,I love the teachings of King Benjamin. One of my favorite verses that relates to this research is in the Book of Mormon::: Mosiah 4:21: And now::: if God::: who has created you::: on whom you are dependent for your lives and for all that ye have and are::: doth grant unto you whatsoever ye ask that is right::: in faith::: believing that ye shall receive::: O then::: how ye ought to impart of the substance that ye have one to another.,How to enrol online?,"Apartment for rent in
2 Bedroom::: 2 Bath
All Utilities included to rent…
Rent is $1100
Reserve Depoist Fee is 800
Space for parking…
Pet friendly
First Come First Serve::: Dm if interested!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"**CONTENT WARNING: THIS ARTICLE ADDRESSES TEENAGE SUICIDALITY**

If you or someone you know is in crisis::: you can call the National Suicide Prevention Hotline 24 hours a day: 1-800-273-8255. More resources available here: https://caps.byu.edu/community-resources

Researchers from BYU::: Johns Hopkins::: and Harvard have created an algorithm that can predict suicidal thoughts and behavior among teens with 91% accuracy. The team said the implications of the research are critical for prevention programming and policy making. Specifically::: they hope policymakers use the findings to prepare services::: resources::: and assessments aimed at school::: community and family settings.

This study identified three risk factors that are the leading predictors of suicidal thoughts and behavior among teenagers: being threatened or harassed through digital media; being picked on or bullied by a student at school; exposure or involvement in serious arguments and yelling at home.

“Clearly the results speak to the need for prevention and schools may be the best place to start by helping to mitigate bullying and online harassment:::"" said study coauthor Carl Hanson::: professor of public health at BYU. ""For communities::: we need programming that can help support and strengthen the family.”

Read the full article here:

https://news.byu.edu/intellect/byu-algorithm-accurately-predicts-when-teens-likely-to-have-suicidal-thoughts-behavior

NEWS.BYU.EDU
BYU algorithm accurately predicts when teens likely to have suicidal thoughts::: behavior",11/17/2021 17:18,"The algorithm doesn't sound that accurate. 91% accurate means that of 100 teens that it identifies as suicidal 9 actually aren't. And then of the 91 that are accurately diagnosed::: I'd assume a large portion of them are obviously struggling and this tool didn't add new information.

I would hate to have a parent or school counselor call me in to talk about my misdiagnosed suicidal thoughts. Potential users of this are going to forget very quickly that it has an error rate.

""I know you have been thinking about suicide. Tell me about it.""

""No honestly Dad::: I'm really happy. Why do you ask?""",This has the potential to save so many lives.,Cheryl Bevan Cardall this info might be interesting to go over in your podcast someday? Not sure if it's totally relevant to what you want to discuss::: but looks interesting!,I am confused by this::: honestly. As someone who has dealt with suicidal ideation in the past::: this feels... uncomfortable.,Sierra Thomander,Wow! 💙,Not sure three universities had to come together to figure this out. Any parents of teenagers could have done that,Like queer youth being threatened and harassed with exclusion from their families and communities::: and spiritual damnation::: for being their authentic selves::: BYU 🤔?,Dustin Morris,Rachel Bailey,So important. 🙏🏻,Sophia Lopez,"Utah Utes vs Brigham Young
#gameday
#matchday
((((LIVE)))) : http://
blog.livestreami
ngsports.online
/
ncaabasketball.p
hp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No::: this isn't a throwback. The students who missed out on the traditional ""Freshmen Y"" photo in 2020 due to covid restrictions rallied together this week to take their class photo.

BYU incoming class of 2020::: you are The Y!",11/12/2021 21:38,My daughter is in Ukraine serving a mission! Go Ryann incoming class of 2020!,My son is in Botswana and Namibia now on his mission. He was a true freshman in 2020 and worked hard through all of the Covid restrictions. He would have loved to be a part of this!!,That’s cool! I loved going to watch this live in 2011 & 2012 when Greg & Gordon where in the photos! Fun tradition and I’m glad the 2020’s got to do it although a lot were probably gone on their missions now!,Aw. I'm guessing the sparse upper portions are the kids like my son who is now serving a mission?,I wish BYU I did stuff this cool.,Glad they got their opportunity,welcome to BYU::: our new motto: Go woke::: or go broke,Maybe photoshop all the students that are on missions now who missed out.,Martha Haymond Dobler,What a great event and so well organized under crazy circumstances! Makes us proud!,Malorie Baker,My daughter Savannah and many of her friends who were freshman in 2020 are now serving missions all over the world!!,I need one! When did tradition start? Not in 2003,My daughter was one of them. Don’t know if she knew anything about this.,So uh::: what if you started in winter 2018 so you missed it anyways even though there wasn't a pandemic?,Hope they are wearing masks. 😁,Thanks for waiting for me 😥,Super spreader you all will be dead in a week,Michael Nelson you in here?,Rosie Aguirre::: where are you??,"Oregon vs Brigham Young
#gameday
#matchday
((((LIVE)))) : http://
sportcompetition
.livestreamings
ports.online/
ncaabasketball.p
hp","Oregon vs. BYU | NCAA Men's Basketball Live Today's 2021
📺 𝐖𝐀𝐓𝐂𝐇 𝐋𝐈𝐕𝐄 👉 http://
agree.live20news
.com/
ncaa.php?live=Or
egon+vs.+BYU
⏰ 9:00 PM EST::: 11/16/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As the Utah Jazz continue their tremendous start to the season::: the NBA team is also giving several BYU students a jump start on the next chapter of their lives.

""It was a burst of excitement at that moment and it was especially motivating to see that my parents were happy and proud. Because I'm a first-generation college student and my parents didn't have the opportunities I'll have.""
https://news.byu.edu/character/the-confidence-to-continue-byu-freshman-receives-full-ride-scholarship-from-utah-jazz

NEWS.BYU.EDU
The confidence to continue: BYU freshman receives full-ride scholarship from Utah Jazz",11/4/2021 19:28,I'd just hope that any student could qualify for these scholarships vs something they have no control over.,Congratulations,Awesome!!!!,"Americans: https://
youtu.be/
B6kcXuhWclo

For the first time ever::: we and our Chinese allies have a formal black letter casus belli to use as a legal pretext to go to war against the international monetary system. Here it is: https://
m.facebook.com/
story.php?story_
fbid=1011254115
9861913&id=1213
256

We will proffer formal terms of surrender next year::: in the way that was last done in 1914::: demanding title to everything you think you own and asking you to prove whether you earned it or stole it through Basel. If the former::: we will return title::: and if the latter::: we will take possession. If you American Nazis::: that's 90% of Americans::: weren't dumber than a Russian man who fails to join the military as a private under mandatory service because he is too stupid::: or a Russian woman who is refused formal voluntary service for the same reason::: it would not be possible for one Soviet soldier to manage what I did.

Americans::: NATO::: Taiwanese::: South Koreans::: Japanese::: and Confederation Helvetica:

This is your last warning::: a courtesy call. When we get started::: we ain't gonna stop. We gonna turn it up til it gets too hot. There is a rumble in the far::: SO GET PREPARED FOR WAR: https://
youtu.be/
IevsaST5LOE.

God bless you and yours::: Americans:::
Диана и Толик

Подписанное:::
Майор Анатолий Смолкин::: BA::: BS::: JD
Specialising in Logistics

Seconded to Psychological Warfare Operations::: Июль 2011::: Порт Севастополя::: Крымская область::: Российская Федерация
General Staff of the Armed Forces of the Russian Federation::: Москва::: Российская Федерация

Acting in a purely corporate capacity since 0000 hours Pacific time::: 20.10.2011::: all purchases legitimate business expenses under IFRS::: including cigarettes::: cigars::: soda::: candy::: and ice cream

Вооружение Силы Российской Федерации
Вооружение Силы Советского Союза

P.S. -

The usual important caveat for all criminals worldwide:

https://
m.facebook.com/
story.php?story_
fbid=1011236241
8520993&id=1213
256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BYU added 6 new photos.
29 October::: 15:31 ·
Дополнительные настройки

The album to watch for every Halloween. Take a look at another year of incredibly fun and creative costumes on campus! 📷 BYU Photo.",10/29/2021 22:31,Those are great photos.,So great!,Fernanda V Russell,#maskup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BYU added 9 new photos.
29 October::: 14:26 ·
Дополнительные настройки

The album to watch for every Halloween. Take a look at another year of incredibly fun and creative costumes on campus! 📷 BYU Photo.",10/29/2021 21:26,I don't get into it::: either. But if I made an effort to get into it::: I have no doubt I'd have fun. I've done it before. 💀👁,Natalie Jardine how come I’m not seeing you in any of these costume posts?!,Looking so good!,Fernanda V Russell,Stupid Adults pretending to be children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BYU added 16 new photos.
29 October::: 11:59 ·
Дополнительные настройки

The album to watch for every Halloween. Take a look at another year of incredibly fun and creative costumes on campus! 📷 BYU Photo.",10/29/2021 18:59,How long will you be out taking pictures?,Caroline Drasbek you and your friends still win 🏆,Always love the creativity BYU students do for Halloween!!,Tom Petersen,How do I get my picture taken?,These are awesome!,Will all photos taken be posted?,Fun!,"Halloween music from a BYU alumni (2001)::: featuring Monte Pittman (Madonna's guitarist). Listen for a folk tune you might recognize from our hymn book:

https://
www.youtube.com/
watch?v=siE1dc8s
q9Y",Allison,Love them!,Incredible,Fernanda V Russell,Will you be posting all of the pictures taken?,#maskup,Gabro Dextor Mary Mizinga Itx Jema Craig Walker Gift Phiri Lawrence Sakubita Benson Banda Sky Max Kelvin Gllot Sandongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BYU added 13 new photos.
29 October::: 09:45 ·
Дополнительные настройки",10/29/2021 16:45,So awesome!!,Ron Ritschard your favorite album of the year!!!,Yesssss!!!! Always love these photos BYU shares 👌,These are all awesome!,I was waiting to see these pics!,Beautiful 🥰❤️ happy Halloween 🥰🎃,👏🏻👏🏻👏🏻👏🏻👏🏻,I love BYU’s Halloween pictures. So fun! And Tom Holmoe every year 😱,Preston Michael Lloyd,Ali::: Cathy,Sierra Thomander,Kristin Howe Pino,I thought we weren't allowed to wear masks?,Love it!,Amazing,Oh Thomas!,It's Halloween time!,🙌❤❤❤,Luz Bautista Estrada,Gislanio Vilar de Carvalho,Tom Petersen,Come find me::: I’m in the wilk. A costume you don’t wanna miss,Estephanie Maiava show me your Halloween costumes sister 👀👀,Adults looking like fools Halloween is for children!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
