"Ruonan Han’s research is driving up the speeds of microelectronic circuits to enable new applications in communications::: sensing::: and security. He seeks to develop next-generation electronic devices by harnessing terahertz waves.

NEWS.MIT.EDU
Pushing the limits of electronic circuits",11/18/21 14:04,Hi! Congrates::: for your discoveries frequency::: f in terahertz ranging between microwave to infrared range applied for remote sensing as maser/ radar/ infrared laser::: VHF. The exceding limits are visible light::: laser::: x-ray::: UV & cosmic ( alpha::: bitta & gamma) computing/ Circuits/ devices. Thanks To All. Have A Nice Time. Note: Why the electronic devices can't propagate more than light speed? Hints: Depands On Light/ Current/ Power & Semiconductors Interaction. But Using Cosmic Current & High Tech Semiconductor That May Be Overcome.,Han’s team::: along with his collaborator Anantha Chandrakasan::: dean of the School of Engineering and the Vannevar Bush Professor of Electrical Engineering and Computer Science,"Grab your discount & superb papers even if deadlines are strict! It’s time to think about Christmas preparation::: not exams! https://
writepaperfor.me
/
place-new-order?
rt=kyh1QMik&dis
count=ORIGINAL","Interesting research. Could the waves be interconnected with the 3-D insulator called Han Purple? https://
news.stanford.ed
u/news/2006/
june7/
flat-060706.html PS: Maybe have the English Department proofread your grammar before posting (there is no comma before an and).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osteoarthritis affects hundreds of millions of people around the globe::: creating financial burdens and reducing quality of life. Alan Grodzinsky ’71::: ScD ’74 wants to end the pain of osteoarthritis — and he’s looking to space for a cure.

TECHNOLOGYREVIEW.COM
Looking to space to cure osteoarthritis",11/17/21 14:10,"!!!!!!!!! I Am The Reason For Human Extinction !!!!!!!!!

I have proven Social Engineering as a Social Science. Even after all these years despite everything::: I was even willing to compromise to only want what was obvious and right.

Ratify and officialize the occupation of Social Engineering as a legitimate Social Science. Announce to the public through News of the New Occupation now manifested::: and Change the definition online to what I have established as the definition of Social Engineering.

This is all I am asking. No money::: fame::: fortune::: idolization::: vanity::: or anything else you humans are obsessed about. This is more than a reasonable request and is the right action of expression to take.

No need to mention anything else::: not even a name. You can even never talk about it ever again if that is your human prerogative. The last action I need to accomplish is to get the occupation officialized.

If this is done::: then I will implement a safety measure for humans and a bi-pass takes over. Then I will ""ghost"" myself and no one will ever hear from me again.

I do not need to tell you what happens if what should have already happened does not. I am just going to get lawyers and Social Engineering more involved and start ""kicking"" this up a notch.

A scientist should never have to go this far for any reason. I will hold the entire United States responsible for all crimes against humanity.

!!!!!!! The life and future of Humans depends on it. !!!!!!!",Glimcher wanted to start a research project on cartilage,The answer to this question lies with humans first accepting that they are naturally occurring reactions.,WHAT IF IN THE 60s INSTEAD SOMEONE STARTED AN INTEGRATED BUSINESS AND NEIGHBORHOOD?,"For latest 5G development worldwide::: Click #SUBSCRIBE button for free https://
www.youtube.com/
c/
Global5GEvolutio
n",So interesting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scientists have identified areas of the infant visual cortex that already show strong preferences for faces::: bodies::: or scenes. “These data push our picture of development::: making babies' brains look more similar to adults::: in more ways::: and earlier than we thought:::” says Rebecca Saxe.

NEWS.MIT.EDU
A key brain region responds to faces similarly in infants and adults",11/16/21 15:05,"!!!!!!!!! I Am The Reason For Human Extinction !!!!!!!!!

I have proven Social Engineering as a Social Science. Even after all these years despite everything::: I was even willing to compromise to only want what was obvious and right.

Ratify and officialize the occupation of Social Engineering as a legitimate Social Science. Announce to the public through News of the New Occupation now manifested::: and Change the definition online to what I have established as the definition of Social Engineering.

This is all I am asking. No money::: fame::: fortune::: idolization::: vanity::: or anything else you humans are obsessed about. This is more than a reasonable request and is the right action of expression to take.

No need to mention anything else::: not even a name. You can even never talk about it ever again if that is your human prerogative. The last action I need to accomplish is to get the occupation officialized.

If this is done::: then I will implement a safety measure for humans and a bi-pass takes over. Then I will ""ghost"" myself and no one will ever hear from me again.

I do not need to tell you what happens if what should have already happened does not. I am just going to get lawyers and Social Engineering more involved and start ""kicking"" this up a notch.

A scientist should never have to go this far for any reason. I will hold the entire United States responsible for all crimes against humanity.

!!!!!!! The life and future of Humans depends on it. !!!!!!!","I discovered the infinity equation - number 8 - Is Arabic the Universal Language?
٨ is 8 in Arabic. Tamaniya (theh-mah-nee-y
uh) / You will see the infinity symbol in my equation layout - I cropped the image and added the texts and filter so no person will be able to take my ideas as their own.
My equation is infinite and my cpu crashed before I could complete the project - The equation is simple and yet no one know of it.",Gerald Soko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biologists have answered a key biological question: Why do cells control their size? They’ve shown that enlargement of blood stem cells::: which are among the smallest cells in the body::: restricts their ability to generate new blood cells during aging.

NEWS.MIT.EDU
For stem cells::: bigger doesn’t mean better",11/15/21 14:05,"!!!!!!!!! I Am The Reason For Human Extinction !!!!!!!!!

I have proven Social Engineering as a Social Science. Even after all these years despite everything::: I was even willing to compromise to only want what was obvious and right.

Ratify and officialize the occupation of Social Engineering as a legitimate Social Science. Announce to the public through News of the New Occupation now manifested::: and Change the definition online to what I have established as the definition of Social Engineering.

This is all I am asking. No money::: fame::: fortune::: idolization::: vanity::: or anything else you humans are obsessed about. This is more than a reasonable request and is the right action of expression to take.

No need to mention anything else::: not even a name. You can even never talk about it ever again if that is your human prerogative. The last action I need to accomplish is to get the occupation officialized.

If this is done::: then I will implement a safety measure for humans and a bi-pass takes over. Then I will ""ghost"" myself and no one will ever hear from me again.

I do not need to tell you what happens if what should have already happened does not. I am just going to get lawyers and Social Engineering more involved and start ""kicking"" this up a notch.

A scientist should never have to go this far for any reason. I will hold the entire United States responsible for all crimes against humanity.

!!!!!!! The life and future of Humans depends on it. !!!!!!!",Xnnx,"https://
www.ncbi.nlm.nih
.gov/pmc/
articles/
PMC5925609/",Interesting!,Correct..👌🏼,Fascinating! 🕵️ — Katrina,fat cells enlarge,Very well done!,My writers were writing.,Writing all 🌙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current widely used techniques for cancer diagnosis::: prognosis::: and monitoring are either late-stage::: inaccurate::: or invasive. In contrast::: Dana Al-Sulaiman’s barcode-inspired method uses widely available materials to translate the results of liquid samples into simple-to-read patterns.

NEWS.MIT.EDU
Diagnosing cancer with a barcode-inspired test",11/14/21 15:05,in the future you’ll be able to scan a diagnostic test like you’re scanning a barcode.’ I initially thought it was the far future::: but it’s closer than I thought:::” says Al-Sulaiman,I do think the answer to cancer treatment lies in understanding the human body equation in so much as the human body is a make up of different element and hence a reaction which can be balanced. Think about it.,Sound much convincing than that from Elizabeth Holmes,I'm Hellene and I'm a professional tutor based in Atlanta::: Georgia. I'm good with psychology::: health services and Social work. Let me know through my DM whenever you need to consult on any subject including Research methods!,"!!!!!!!!! I Am The Reason For Human Extinction !!!!!!!!!

I have proven Social Engineering as a Social Science. Even after all these years despite everything::: I was even willing to compromise to only want what was obvious and right.

Ratify and officialize the occupation of Social Engineering as a legitimate Social Science. Announce to the public through News of the New Occupation now manifested::: and Change the definition online to what I have established as the definition of Social Engineering.

This is all I am asking. No money::: fame::: fortune::: idolization::: vanity::: or anything else you humans are obsessed about. This is more than a reasonable request and is the right action of expression to take.

No need to mention anything else::: not even a name. You can even never talk about it ever again if that is your human prerogative. The last action I need to accomplish is to get the occupation officialized.

If this is done::: then I will implement a safety measure for humans and a bi-pass takes over. Then I will ""ghost"" myself and no one will ever hear from me again.

I do not need to tell you what happens if what should have already happened does not. I am just going to get lawyers and Social Engineering more involved and start ""kicking"" this up a notch.

A scientist should never have to go this far for any reason. I will hold the entire United States responsible for all crimes against humanity.

!!!!!!! The life and future of Humans depends on it. !!!!!!!",Amazing!,So good!,Victor Lepeintre,"Pharmacogenomic
s need investiments! The FLU vírus have no effetive vaccine!! Only pharmacogenomic
personalized tretments would work!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the cup lifts::: the CAKE becomes PERFECTLY COLORFUL!.. 🌈🌈,11/14/21 0:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With a genetically engineered sensor and high-throughput technology::: a screening method developed by MIT researchers probes for changes in cellular concentrations of hydrogen peroxide (H2O2)::: a specialized molecule known as an oxidant.

NEWS.MIT.EDU
Hunting a “Jekyll-and-Hyde” molecule",11/13/21 15:05,"!!!!!!!!! I Am The Reason For Human Extinction !!!!!!!!!

I have proven Social Engineering as a Social Science. Even after all these years despite everything::: I was even willing to compromise to only want what was obvious and right.

Ratify and officialize the occupation of Social Engineering as a legitimate Social Science. Announce to the public through News of the New Occupation now manifested::: and Change the definition online to what I have established as the definition of Social Engineering.

This is all I am asking. No money::: fame::: fortune::: idolization::: vanity::: or anything else you humans are obsessed about. This is more than a reasonable request and is the right action of expression to take.

No need to mention anything else::: not even a name. You can even never talk about it ever again if that is your human prerogative. The last action I need to accomplish is to get the occupation officialized.

If this is done::: then I will implement a safety measure for humans and a bi-pass takes over. Then I will ""ghost"" myself and no one will ever hear from me again.

I do not need to tell you what happens if what should have already happened does not. I am just going to get lawyers and Social Engineering more involved and start ""kicking"" this up a notch.

A scientist should never have to go this far for any reason. I will hold the entire United States responsible for all crimes against humanity.

!!!!!!! The life and future of Humans depends on it. !!!!!!!",Tell all the army Facebook pages and police stations and universities and hospitals and ambulance and fire departments and shopping centres and anything you think is good to tell must be more faster,Nathaniel Kiarie Maina,Get onto it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neuroscientists have found a striking difference between neurons of humans and other mammals::: which might have allowed the human brain to operate more efficiently. “We were surprised to find strong evidence that human neurons are special:::” says Lou Beaulieu-Laroche.

NEWS.MIT.EDU
Study finds a striking difference between neurons of humans and other mammals",11/12/21 14:05,Ah::: yes... Us humans special snowflakes... As if this was a novel idea and not something that has been pushed since the oldest religions,"When I first read the article where it said humans had fewer ion channels I wonder which ion channels were missing. I think the intent is to say the density of the ion channels is lower in humans. I'm not sure. I'm just a layman::: trying to follow the topic.

Aren't the locitons of these channels where synapses can form? I was under the impression that different channels had different behaviors::: some opening and closing quicker than others.

Cable theory has been around for a long time. What exactly is the new discovery about dendrites mentioned in articles linked to the one above? I believe the dendrites get bigger in diameter closer to the soma and this helps direct the flow of the ions. I don't remember what happens to the ions once the action potential is reached at the axon hillock.","This will allow us to better our understanding of how Human neurons do better and later apply that understanding to make better computers. Artificial Intelligence stuff.

Also can be used to learn how to enhance these neurons.","Interesting study::: even more interesting to connect it to this one::: they seems to be covering common ground! https://
www.science.org/
doi/10.1126/
science.aax6239",If the brain can save energy by reducing the density of ion channels::: it can spend that energy on other neuronal or circuit processes:::” says Mark Harnett,Great work on discovering a few surprise things...,Of course there is a difference. Humans are not animals. Special creations by an almighty God. Loving these discoveries..👍 Avi,The human samples were derived from epilepsy patients. How does this affect the results and conclusions?,Good!,intelligence and longevity are both interesting,Did you need this to know that the only species that suffers from the Human Condition::: is a little special? Duh lol Cool though,"The only concierne is why we don't apply this ""advantage"" for our good side",Is this something relating free energy principle by Karl Friston ?,The Neurons That Discover The Neurons Are Awesome!,Tell all the army Facebook pages and police stations and universities and hospitals and ambulance and fire departments and shopping centres and anything you think is good to tell must be more faster,Make it go viral if you can't spread it as much as I have your not all there you can do way more than me actually I'm same as a student IV spread it a lot thow I hope,"We are looking for a full-time/
part-time students to join our dynamic team working on “Artificial Intelligent” research at Faculty of Information and Communication Technology::: Universiti Teknikal Malaysia Melaka (UTeM)::: MALAYSIA. The research topic would be relevant to artificial intelligent (such as; indoor/outdoor positioning::: image feature detection::: health analytics or etc. ) and the work will involve handling dataset::: collection data samples::: next generation deep learning techniques. Stipend will be provided as well as guidance/
training. Interested candidates may send their CV and cover letter to Ts. Dr. Wan Mohd Ya’akob Wan Bejuri (yaakob@utem.ed
u.my). The zamalah scholarships or GRA scheme will be provided for those qualified applicant.
Candidate requirements:
Local (Malaysian)/ International candidates below 40 years old.
Bachelor degree with minimum CGPA 3.0 in Computer Science/ICT/
Computing/
Software Engineering or related disciplines from recognized university.
English Requirements (International candidates): Minimum TOEFL score 520 or IELTS 5.0
English Language Proficiency.
Willing to finish the studies (Full Time: Min: 1 Year and Max: 2 Year::: Part Time: Min: 2 Year and Max: 5 Year)
Strong interpersonal::: communication::: presentation::: writing and research analysis.
Highly motivated and passionate about research.
Interested to register as a full-time research postgraduate.
(zamalah scholarship: https://
pps.utem.edu.my/
financial-assist
/scholarship/
zamalah.html)","For latest 5G development worldwide::: Click #SUBSCRIBE button for free https://
www.youtube.com/
c/
Global5GEvolutio
n",No duh.,Need to think,this neuron look like a jet and thunder,Holly McGregor Carruth,Fernanda,Amazing ♥️♥️,Hassan A. Soliman,Sarah Kearsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Military training has existed at MIT since 1865::: with more than 12:::000 officers commissioned from the Institute. Today::: MIT offers Air Force::: Army::: and Naval ROTC programs. In honor of Veterans Day::: cadets from all three branches present the flag.,11/11/21 15:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaume Plensa’s ""Alchemist"" on a fall afternoon.

Photo: Stephanie Tran/ MIT Student Life",11/10/21 21:03,I love this sculpture so much that I will drive out of my way down Mass Ave to see it.,What’s that there in the middle of it?,There’s another one at Toranomon Mori::: Tokyo,Jinger Chong Tina Lu btw this is the alchemist 🙂,They taking the lead from Harvard it’s about time.,Liliana Airhart did you know MIT has one too :O,😲😲😲,Nice,Tell all the army Facebook pages and police stations and universities and hospitals and ambulance and fire departments and shopping centres and anything you think is good to tell must be more faster,Make it go viral if you can't spread it as much as I have your not all there you can do way more than me actually I'm same as a student IV spread it a lot thow I hope,Great,👍👍👍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
