"Naoum Fares Marayati '19 has been named a George J. Mitchell Scholar by the nonprofit US-Ireland Alliance.

Marayati will study ""the interaction of migration and healthcare"" and global health at Trinity College Dublin.

Congratulations!

PRINCETON.EDU
Princeton graduate Naoum Fares Marayati selected as Mitchell Scholar",2021-11-26 15:49:03,"Congratulations
::: Fares!","Congratulations
!",Way to go Fares!,I plan on emigrating from the US when I am elderly for healthcare and quality of life purposes. I’m probably not the target of his studies though lol.,Congrats!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TellUsTigers x #Thanksgiving: “Gratitude is hardly a big enough word to describe what I feel for Tony Whalen::: my close friend::: bandmate and collaborator for 27 years — until his death from COVID-19 on March 25::: 2020. If you knew him::: he was all about bigger and better. I can trace so many positive things in my life to Tony. Tony and I started three bands::: all with me on guitar and him on drums. Playing music and shows with him was some of the most fun I’ll ever have::: and I am eternally grateful for that. In the days and weeks after Tony died::: everyone I work with at Princeton Entrepreneurship Council (PEC)::: the Office of the Dean for Research and around campus lifted me up. I’m lucky to call these people friends and colleagues. PEC and Princeton Innovation put on a lot of virtual events in 2020::: and we were doing more working from home than even I thought possible. I’m grateful that the work I do at #PrincetonU contributes to making society better. Staying busy doing this important work has helped me to keep going during the pandemic and to process my own grief at losing Tony. He and I met the first week of college::: at @Rider_University in 1993. Tony was one of those people that you hope to have in your college life — he made everything more colorful and memorable. He was creative::: charismatic::: inspirational and hilariously inappropriate at times. Tony made Rider and our community there better. And he wanted the best for you::: even if you only knew him for five minutes. He was one of the first people who opened the door into my career in design. He commissioned me for a logo design in 1997 and from there::: we embarked on one creative project after another together. When Tony died::: I plunged into several creative projects to honor him. The biggest one was to produce ‘Tony Whalen: Legend and Legacy:::’ an hour-long documentary about the impact he had on Rider::: his friends and his family. It was an honor for me to keep his spirit and memory alive. Although he’s gone::: Tony can still be with us if I can make things around me better too.” — Wright Seneres::: social media/marketing specialist::: Princeton Entrepreneurship Council; photo by Alexander Moravcsik ’23 #Princetagram,2021-11-25 15:08:25,This is very grrat. Thanks Wright . Happy Thanksgiving!,Betty Whalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The heat is on! 🔥

Look back on the bonfire — while we look forward to the next one. 🐅

🎥: Jeanie Chang '25",2021-11-24 18:38:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Founder of Teach For America and CEO of Teach For All Wendy Kopp '89 has been selected as speaker for the #Princeton22 Baccalaureate ceremony.

PRINCETON.EDU
Teach For All co-founder and CEO Wendy Kopp named Baccalaureate speaker",2021-11-23 17:00:46,Great choice Class of 2022!🐯🏆,HAPPY THANKSGIVING 🙏❤🍀,It is a tremendous honor that Wendy Kopp ’89 will serve as the Baccalaureate speaker for the Great Class of 2022:::” said senior class President Santiago Guiran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gadi Dechter::: an experienced communications and government affairs professional and currently the head of public affairs at APCO Worldwide’s headquarters::: has been named #PrincetonU’s vice president for communications and government affairs::: effective January 10.

PRINCETON.EDU
Gadi Dechter named Princeton vice president for communications and government affairs",2021-11-23 13:00:27,“Gadi Dechter brings to Princeton a rare combination of experience as a policy-maker::: consultant::: award-winning journalist and teacher:::” said President Christopher L. Eisgruber:::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“Let the lighting of this bonfire be the ultimate re-ignition of community.” — Christian Potter '22 🔥

The University community came together on Sunday night for a traditional bonfire to celebrate Princeton University Football wins over Harvard and Yale and to honor the achievements of all of our Princeton University Athletics student-athletes.

PRINCETON.EDU
Bonfire crowds celebrate football wins and a 're-ignition of community' at Princeton this fall",2021-11-22 21:03:20,Mickey A. Dressler,“It’s been great to have everyone back on campus this fall:::” President Christopher L. Eisgruber told the crowd,"I was there with my husband::: Tom Lynch ‘81::: and my daughter::: Kellie Jean Lynch ‘13! Congratulations
::: Tigers!",So nice that grandparents can watch the celebration on You tube. Go 🐯,Caro Mtz,May the bonfire also light up the hope in the community.,Tigers!!!,Swweeeeet!!!,"Superb 🔥🔥
CONGRATULATIONS
👏👏👏",Love this. 🧡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch live - flames rising jubilantly on Cannon Green and Tiger cheers roaring from spectators when Princetonians gather around a Big Three championship bonfire to salute football victories over rivals Harvard and Yale.,2021-11-22 00:01:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Princeton University seniors Joshua Babu and Wafa Zaka have been awarded Rhodes Scholarships for graduate study at the University of Oxford. Congratulations!

PRINCETON.EDU
Princeton seniors Joshua Babu and Wafa Zaka win Rhodes Scholarships",2021-11-21 15:16:22,"Congratulations
! Granddaughter::: Kate Reed is at Oxford now as a Rhode Scholar out of Princeton.","Congratulations
!","Congratulations
!","Congratulations
!","Congratulations
!🎉👍","Cool congratulations
🎉!!","Congratulations
!!",Congratulations,Extraordinary. Just reading about them is an inspiration. The work they’ve already been doing at Princeton is impactful. Can’t wait to see this generation of Princeton grads take their places in the world.,"Wow! Congratulations
!",So proud of you.,Congrats !!,Congratulations,"Excellent achievement::: congratulations
.",congratulation to both of you.I LOVE oxford university.,Babu::: of Scottsdale::: Arizona::: is concentrating in molecular biology and is also pursuing a certificate in gender and sexuality studies. At Oxford,Zaka::: of Lahore::: Pakistan::: is concentrating in politics and is also pursuing a certificate in history and practice of diplomacy. At Oxford,Shouldn't that say Wafa Zaka and Joshua Babu since in English one reads from left to right? I assume ZB is the guy in a tie on the right.,"Congratulations
guys!!!",Nihal Shokry,Congrats!,"Congratulations
to both of you. Such a proud moment.","@WAFA ZAKA KUDOS!!!! Congratulations
to you and your parents. Some one from my home town (Lahore-Pakista
n) make us proud.👍","Congratulations
!","Congratulations
. Well done!!!",CONGRATULATIONS,"Congratulations
👏 🎊 💐","Congratulations
🎈🎉🎊","Congratulations
🎉","Congratulations
👏💐💐","Top Fan
Gloria Santibanez",🤗🤗🤗,"Congratulations
to both of you!","🎊 Congratulations
🎊 I am so proud of you both.","Congratulations
!",Fantastic!,Just research the inhumane stuff the Rhodes guy did and ask yourself why even a scholarship is named after him 🙃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You might not know his name - but you know his designs.

Get to know Sean Rubin '09::: the designer behind the modern iterations of the Bonfire poster: https://bit.ly/3DCxa0i",2021-11-20 17:45:09,Hi Sean. Still have your poster.,Sean is savage 😎🐅🖤🧡,Love the spirit!🖤🧡🖤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“I cherish every play. Every play I go in::: I think to myself that I have to make the most of it.""

Tavaris Noel '22 is no stranger to adversity.

After beating cancer::: overcoming MCL and ACL injuries and getting through the pandemic::: he'll be on the field alongside his Princeton University Football teammates tomorrow::: battling for The Ivy League championship.

GOPRINCETONTIGERS.COM
Feature Story: A Study In Toughness - Princeton University Athletics",2021-11-19 15:46:14,Inspiring story! And amazing young man. He has already dealt with more adversity than most adults will ever encounter. He has a bright future.,"Congratulations
::: Tavaris! You are an inspiration to many!",Prayers for you Tavaris and Princeton football! Good luck.,WOW,Go Tavaris!,Good luck Princeton,Great story Jerry.. Special,Good luck Princeton 💥💥💥,Hero🥰🥰,🧡🙀,Tough!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
