"Scott Bess::: founding executive director of Purdue Polytechnic HS::: shows how persistence matters to us.

He is the one behind the revolutionary philosophies PPHS is built upon — ideas that have reinvented the high school experience. It’s just one of the reasons #Purdue is a Fast Company #BrandThatMatters. https://purdue.university/3H8zkqw",11/30/2021 18:22,a visionary,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After a weeks-long journey that began in the unnerving chaos at the Kabul airport::: a Purdue language and culture instructor helped four family members relocate from Afghanistan to West Lafayette.

The family was among the thousands of Afghan refugees who fled the country in August when the Taliban returned to power.

They left behind family::: homes and all of their belongings when they fled their home country::: but members of the Purdue community are helping them start over in the U.S.

https://purdue.university/31bRA1M

PURDUE.EDU
After harrowing escape from Afghanistan::: Purdue instructor brings her family to West Lafayette",11/30/2021 14:00,So glad you shared this story. Thank you.,Great story about her dedication and determination. Purdue is lucky to have her.,Super proud of Purdue community. Very great and inspiring story 👏👏,I have tried to apply to this school for scholarships::: I emailed over 12 professors and none gave me any audience,Purdue proud. Boiler up.,Now that is a profound case of BOILER UP! Happy they are now safe.,Welcome home::: Mariam and family!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New #Purdue-developed drug designed to help surgeons find cancer tumors and cells has been approved by U.S. Food and Drug Administration. Cytalux::: invented by Purdue University College of Science professor Philip Low::: is the first tumor-targeted fluorescent marker for ovarian cancer to be FDA-approved. Purdue Center for Cancer Research

https://purdue.university/3GdVnuX",11/29/2021 17:44,💛🖤💛🖤,"Congratulations
Dr. Low and On target lab team and Purdue University.","Congratulations
! Thank you for your time::: efforts::: and all your hardwork in this important research!",Boiler Up!,Great ::: Congratulations,T'lia Leigh woah ⭐️ ⭐️ ⭐️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue University Global is making dreams of #giantleaps attainable for #Boilermakers like Dr. Miri Niedrauer. While actively pursuing her PhD in organic chemistry::: training as an Olympic athlete and working on a patent with a research team::: Niedrauer completed her MBA online. Watch her full story: https://youtu.be/n_6Cgicqj5o,11/29/2021 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#PurdueUniversity is a #BrandThatMatters because of our culture of togetherness::: exemplified by Frieda and Winifred Parker — sisters and #Boilermakers who helped usher in an era of racially integrated housing policies in 1947. Recently::: two residence halls were named for the sisters.

https://purdue.university/3H8zkqw",11/28/2021 22:00,If I recall correctly::: Alpha Phi Omega service fraternity::: Allpha Gamma chapter::: was the first at Purdue to integrate in the early 1970s ('71 or '72).,Andrew Pilsner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our #Boilermakers have the MOST school spirit. 🚂 Joe Navarra::: a Purdue University Mechanical Engineering senior::: persistently researched::: designed and built these iconic #Purdue costumes.

Read more about how Navarra balanced this with his curriculum::: and let us know which #PurdueUniversity icon costume is your favorite! #BoilerUp
https://purdue.university/3CL0PDg

PURDUE.EDU
Balancing creativity::: STEM and Boilermaker pride",11/28/2021 15:00,Way to go Joe! 🚂🆙💛🖤,Awesome!!! Boiler Up! 🖤💛,cool,Awesome! This reminds me of the Boilermaker Special I made for a stroller decorating competition (and won) in 2017! Boiler Up!! 🚂,Outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Another “P” added to the #OldOakenBucket ✔️ #BoilerUp #HammerDown

Purdue Football is at Ross–Ade Stadium.
November 27 at 7:05 PM · West Lafayette::: IN ·

💥💥💥💥💥 FINAL

✅ Purdue improves to 8-4 overall (6-3 #B1G) while Indiana ends its season at 2-10 overall (0-9 #B1G).

📈 Largest margin of victory since 2008.

𝐀𝐍𝐃 𝐓𝐇𝐄 𝐁𝐔𝐂𝐊𝐄𝐓 𝐂𝐎𝐌𝐄𝐒 𝐇𝐎𝐌𝐄!",11/28/2021 0:08,Boiler Up!!! The bucket is ours!!!,Glad to see a great win against IU for my last home game as a student 🚂 💛🖤,"Dominating Win!!🚂
Welcome Home!!
#OldOakenBucket
#BoilerUp #Hammerdown",BOILER UP!!!!!,Boiler up,Outstanding win and season Purdue::: Boiler up !,Boiler up!,Boiler Up!!,Boiler Up!,Awesome::: all my favorite teams won today,Boiler Up!!!,HAIL PURDUE!,Go Boilers!!!,Great game::: win & season now get that bowl win - if we would had won either game at home against Minnesota or Wisconsin we be playing for the Big Ten Championship after Minnesota just beat Wisconsin,Vibes!,💥,Yeah!!,Way to bounce back after last season. Boiler up. Hammer down. Let’s go bowling.,How embarrassing,Boiler Up!! Good job!,Way to go boilers!,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,When will a Bowl site be announced? Boiler-Up,Jeff Ayersman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We’ve been waiting for this one. 🏈

Get ready for the Old Oaken Bucket Game. Boiler Up! 🚂⬆️

Purdue Football vs. Indiana::: 3:30 p.m. Saturday::: November 27 at Ross-Ade Stadium

#LetsPlayFootball #BoilerUp #OldOakenBucket",11/27/2021 20:00,All ahead::: boiler up. Eyes on the prize. #boilerup,Julie Gumm,Our bucket is finally back home where it belongs. Boiler Up!,Boiler Up!,It was a rout and IU was badly beaten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time to bring the Old Oaken Bucket back to West Lafayette! 🚂⬆️ See you at Ross-Ade::: 3:30 p.m. 🏈

#BoilerUp #HammerDown #LetsPlayFootball

Purdue Football",11/27/2021 18:00,Boiler Up! Go Purdue::: BEAT IU!!!,Let's Go Boilermakers!,Go Boilers!!,Boiler Up!!! Stomp IU!,Boiler Up!,It’s here::: now let’s keep it!!,We're here!!! 🥳🖤💛🚂,Boiler ⬆️ 🔨 down! 🚂 🚂 🚂 🚂 🚂 🚂 🚂 🚂 Go Purdue!,Our time.. our Bucket! Boiler UP!,🖤💛 Get This Done BOILERS 🖤💛,Go Boilers!,Most believe the Bucket will be coming home today.,Julie Gumm,💛🖤💛🖤💛🖤💛🖤💛🖤💛,Go Boilers!,Hail Purdue! Awesome blow out game!!,Beat Indinia!,Boiler Up and hammer down!! Bring the old bucket back to West Lafayette .,Lorraine Wisemiller Burton,Boiler up !!!!!!!!,Way to go Boilermakers,We were there to enjoy every minute of the FB game - cheering on those Boilers !!!,Go Boilers!,Go Boilers. Bring back the trophy. #boilerup,Go Boilers bring home the Old Oaken Bucket!! You deserve it! 🖤🖤💛💛,Jay Hostetter,🏈🏈🖤💛 Go Boilers!!,Outstanding win. Great season::: Boiler Up !!,"We sure did 44- 7 Old Oaken Bucket at home
Boiler Up 🏈",Back where it belongs,Boiler up!!!!!!,Boiler up! Hoosier down!,Go Boilers!!!,WE GOT THE BUCKET BACK,Boiler Up from Iowa!,DONE!! 🖤💛🏈,Done!,Done ✔️,And then on to a decent bowl game! BTFU!,Nikki Koehl,MEN!!!!,Love my Boilers,We did big time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The best memories are made together. Let's enjoy time with friends and family as we cheer on Purdue Football in today's rivalry game. Whether you're at Ross-Ade Stadium or at home::: #BoilerUp and let's bring home the bucket!,11/27/2021 15:00,Go Purdue!! Beat IU!!,Boiler up Hammer down!! Beat IU!! Ps love the shirt grandma is wearing. 😁,Ed Bonnie Lewis,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We're bringing the #Boilermaker energy from last week at Wrigley Field to the Old Oaken Bucket game! 🏈 Who's ready to #BoilerUp and #HammerDown?! Time to add another ""P"" to the bucket.

Purdue Football",11/26/2021 19:00,"Top Fan
Daniel Fisk",Go Purdue! 🚂🚂🚂🚂🚂🚂🚂,Let’s go boilers!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
