"Overnight tonight::: the Connecticut sky will host its longest visible partial lunar eclipse so far this century. Interested in staying up? UConn physics student and black hole research group member Rei-Matthew Regala answers some questions you may have in preparation. https://today.uconn.edu/2021/11/keep-your-eyes-to-the-night-sky-to-catch-the-blood-moon-on-november-19/

TODAY.UCONN.EDU
Keep Your Eyes to the Night Sky to Catch the Blood Moon on November 19 - UConn Today",2021-11-18 22:08:01,Hannah Surdis,Emily Krumholz,...lunar equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thanks to the generosity of Nancy and Bill Trachsel '71 (JD)::: the year-long School of Law centennial campaign is off to a great start. They added to their existing scholarship fund – the most generous donor-funded scholarship at the school – meant to cover most of the tuition for candidates who otherwise wouldn't have been able to attend law school for financial reasons. https://today.uconn.edu/2021/11/donors-bolster-scholarship-to-celebrate-uconn-laws-centennial/

TODAY.UCONN.EDU
Donors Bolster Scholarship to Celebrate UConn Law's Centennial - UConn Today",2021-11-18 13:32:01,i forgive you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Although the holiday season is often associated with joy and family::: it can also bring extra feelings of stress::: anxiety::: and loneliness. Psychiatry experts from UConn Health have some tips to make the holidays less of a challenge. https://today.uconn.edu/2021/11/10-ways-to-beat-the-holiday-blues-starting-now/

TODAY.UCONN.EDU
10 Ways to Beat the Holiday Blues (Starting Now) - UConn Today",2021-11-17 13:02:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thank you for your record breaking support::: UConn Nation!

UConn Alumni
November 15 at 3:02 PM ·

Happy #NationalPhilanthropyDay::: #UConnNation!

Philanthropic support is essential for UConn’s continued excellence as a top 25 public research university::: and thanks to the generosity of nearly 23:::000 alumni and friends::: we have recorded the highest fundraising total in our history for the second year in a row. We can't say it enough: #ThankYouUConnNation

Learn more in the fiscal 2021 annual report: https://bit.ly/3qCIFkz",2021-11-16 15:57:15,"ASA New York Vs. UConn Avery Point
🎥𝐖𝐀𝐓𝐂𝐇 𝐋𝐈𝐕𝐄 👉🏀http://
support.national
sports4k.com/
njcaa.php?live=A
SA+New+York+Vs.
+UConn+Avery+Po
int
NJCAA Men's Basketball
🕑 Tuesday::: November 16 2021 @ 5:30 PM EST","UConn Avery Point Vs. Westchester - NJCAA WOMEN'S BASKETBALL
🔴Watch Live ►: http://
red.nationalspor
ts4k.com/
njcaa.php?live=U
Conn+Avery+Poin
t+Vs.+Westchest
er

Tuesday::: 11/16/2021 @ 5:00 PM EST",uconn men played well lastnight,"NCAA MEN'S BASKETBALL
LIU 🆚 UConn
📺 Live Stream 👉 🏻 https://
stream-on.ultrah
d-area.com/
ncaa.php

Date : November 17::: 2021
Time : 6:30 PM EST","Grab your discount & superb papers even if deadlines are strict! It’s time to think about Christmas preparation::: not exams! https://
writepaperfor.me
/
place-new-order?
rt=kyh1QMik&dis
count=ORIGINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UConn's Connecticut Institute for Resilience and Climate Adaptation (CIRCA) has been awarded $5 million to expand efforts toward helping Connecticut communities adapt to climate challenges like increased flooding and heat vulnerability. https://today.uconn.edu/2021/11/circa-awarded-5-million-in-new-funding-to-strengthen-cts-climate-change-resilience/

TODAY.UCONN.EDU
CIRCA Awarded $5 million in New Funding to Strengthen CT’s Climate Change Resilience - UConn Today",2021-11-16 09:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FinTron Invest helps users understand the principles of investing by serving as an all-in-one investing and investment education app::: meant to make investment more accessible to those who may face barriers or shy away from the idea. With the help of UConn TIP Digital::: a program that helps launch start-ups::: FinTron was able to raise $2.5 million and quadruple its number of users – 55% of who are women and who have an average age of just 26. https://today.uconn.edu/2021/11/tip-digital-supports-app-promoting-accessibility-of-investing-for-young-people/

TODAY.UCONN.EDU
TIP Digital Supports App Promoting Accessibility of Investing for Young People - UConn Today",2021-11-15 13:48:01,👊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey Future Huskies::: there are many ways to explore life as a member of UConn Nation. Learn more about our in-person and virtual engagement opportunities: https://admissions.uconn.edu/explore-uconn/,2021-11-12 17:10:12,"UConn vs Coppin State
#gameday
#matchday
((((LIVE)))) : http://
fast.livestreami
ngsports.online
/
ncaabasketball.p
hp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As you watch the Baltimore Ravens play tonight on Thursday Night Football::: look for UConn alumna Leigh Ann Curl on the sidelines. Curl::: chief of orthopedics at MedStar Harbor Hospital in Baltimore and head orthopedic surgeon for the Ravens::: was a former Husky basketball power forward and University Scholar. Learn more about Curl in Fall '21 edition of #UConnMag: https://magazine.uconn.edu/2021/10/14/curling/

MAGAZINE.UCONN.EDU
Curling",2021-11-11 22:22:01,"Need an original essay? 🤔 Order here and get a discount! 👇
https://
writepaperfor.me
/
place-new-order?
rt=kyh1QMik&dis
count=ORIGINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The School of Business' Entrepreneurship Bootcamp for Veterans::: founded in 2009::: offers experiential training in entrepreneurship and small-business management to post-9/11 U.S. veterans who have disabilities as a result of serving the country. Because it relies on gifts::: grants::: and philanthropy::: the COVID-19 pandemic has put the program at risk. Finance professor emeritus Tom O'Brien will be matching donations::: up to $100:::000::: to help save this inspiring program. https://fal.cn/3jLuy

Want to have your donation matched? Give now: https://fal.cn/3jLuw

FOUNDATION.UCONN.EDU
Veterans Outreach at the School of Business (EBV) - UConn Foundation",2021-11-11 17:05:01,like the country needs more coffee roasters or breweries ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim L. Mora has been named as the next head football coach of the University of Connecticut::: as announced today by director of athletics David Benedict. Mora's experience includes head coaching positions with the Seattle Seahawks::: Atlanta Falcons::: and the UCLA Bruins. Welcome to UConn::: Coach! https://fal.cn/3jL4w,2021-11-11 15:12:13,Interesting hire. Good name recognition. May not matter if we don’t get affiliated with a league.,"The ability to adapt to change is prerequisite to success. It's about time and space....stayin
g positive in the darkest of time. Onward my fellow alumni of the Uconn football program.",Positive thoughts for this coach!🏈🏈,"I will withhold my hopes until I see positive results or recruiting...an
NFL coach with the Falcons and Seahawks for a total of 3 years..then coaches UCLA for 4 years ..then takes 4 years off...his career trajectory is heading south...if he is a quality coach::: teams would have inquired prior to now...I prefer to wait and see.",Does he realize the mess he's getting into?,Given UConn's experience with its prior coaching hires::: I am extremely skeptical about what will be accomplished. But I hope I'm wrong.,Let’s win::: coach!,Michael Wolf,just need to get 3 or 4 good recruits,At what cost?,👍,Looks good on paper::: but so did Paul Pasqualoni. I'm cautiously optimistic.,now where is the new President ?,Welcome to UCONN!! 🥳🥳,Pray and hope . A lot of work to do and we need patience. Yes,Congrats! 🎉,Goody luck.,I thought the rehiring of the traitor was a terrible idea. But at first glance at this I was like ok then my UConn football history brain kicked in and were worst than than 130 on the CBS poll if that's possible.,I was hoping for someone younger who might be there 20 years or so.,Nooooooooo,Has been ‼️,Let's Go UCONN,I’m pumped!,Yawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
