"More than 700 employees and more than 600 students live in areas that were evacuated due to the recent fires in Boulder County. In all::: nearly 1:::000 structures were lost::: including the homes of dozens of CU Boulder students::: faculty and staff::: and reports of other damages are expected to rise.  Campus leaders made the difficult decision to begin the spring semester with fully remote instruction considering the fact that so many staff and faculty members are facing challenges such as managing illness::: securing housing::: working with insurance companies::: helping others in the community::: and replacing destroyed personal belongings from laptop computers to cars.  ""Starting the semester in remote status::: rather than a two-week delay::: preserves spring break::: which students have indicated is integral to mental health:::"" said Executive Vice Provost Ann Schmiesing. ""Not delaying the start of the semester also preserves Maymester::: which cannot overlap with the spring semester due to federal financial aid guidelines. Maymester is an important opportunity for many students to take courses necessary for their progress toward their degrees.""  Read more about how CU Boulder responds to impacts of devastating fires::: high winds and cold snap by clicking the link below.  COLORADO.EDU CU Boulder responds to impacts of devastating fires::: high winds and cold snap",2022-01-04 12:27:02,How do the professors teach remotely without a computer or a room to do it in? And what about the students with no home who might have had somewhere safe to go if you had opened up the residence halls and welcomed them back? This decision makes no sense.,😔😔😔😔🙏🙏🙏🙏🙏,It is so sad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WED::: JAN 12 AT 9 AM PST Campus Q&A: Virtual Town Hall,2022-01-07 16:30:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hours of operation for key services::: including the UMC::: bookstore::: Rec Center::: and university libraries and information about computer labs::: study rooms::: and other key areas of campus can be found at the link below.  COLORADO.EDU Hours for key services,2022-01-07 12:37:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed the Stampede serves as the food assistance program for the University of Colorado Boulder. We work to ensure students experiencing any level of food insecurity have the necessary knowledge::: resources and access to enough food to meet their needs in an emergency or on-going basis. All donations will support Feed the Stampede initiatives and will go directly towards fighting food insecurity on the CU Boulder campus. Money will be used to purchase food for distribution::: meal swipes for on-campus meals::: and grocery store gift cards for students in need. More Info ➡ https://bit.ly/3pW2tie,2022-01-06 12:48:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We continue to be thankful for our Buffs from around the world who want to help those impacted by the Marshall Fire. Today we want to share information about the student emergency fund and the staff and faculty emergency fund.  The Student Emergency Fund provides direct financial assistance to students so they can pay bills if they've lost wages::: secure technology for remote learning::: and gain access to food and health care.  The Staff and Faculty Emergency Fund provides direct financial assistance for CU employees to gain access to food::: housing and health care.  If you'd like to donate to one or both::: you can learn more at the link below.  COLORADO.EDU We Are Buffs Together,2022-01-05 12:51:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heading to a Colorado Buffaloes Men's Basketball and/or Colorado Buffaloes Women's Basketball game this weekend? 💛🏀🖤 Here’s another way you can help those impacted by the Marshall Fire ⤵️  Colorado Buffaloes January 4 at 5:18 PM ·  Marshall Fire Relief: Gift Card Donations  The Buffs are hosting a gift card drive for those impacted by the Marshall Fire at ALL of this weekend's Colorado Buffaloes Women's Basketball & Colorado Buffaloes Men's Basketball games at CU Events Center  Beginning on Wednesday::: January 5::: $5 of every ticket sold to men's and women's basketball games the rest of the season will be donated to emergency relief efforts  ℹ️: buffs.me/3FY23NZ,2022-01-05 00:46:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executive Vice Provost Schmiesing and Chief Operating Officer O’Rourke updated campus on continuing emergency support for students::: faculty and staff. Chancellor DiStefano has authorized up to 160 hours of emergency administrative leave for employees impacted by the fire who need the additional time for recovery efforts. We urge the university community to act with compassion and empathy during this time. To read the latest update from campus leadership in its entirety::: click the link below.  COLORADO.EDU From the Executive Vice Provost and COO - CU Boulder Campus Operations Update,2022-01-04 22:41:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We are grateful to all who have reached out seeking ways to help in the aftermath and recovery process of the Marshall Fire. Throughout the next few days::: we will be sharing specific ways you can help our Buff community. Today we are featuring the Buff Pantry.  The Buff Pantry is the on-campus food pantry and is here to support CU Boulder students who are experiencing food insecurity. The Buff Pantry is collecting donations and operating drop-in hours January 3-6 to support those impacted by the Marshall Fire.  You can also shop their Amazon Wish List. These items will get delivered directly to the Buff Pantry. The items we have selected complement items we receive from local food banks and provide much needed hygiene supplies to those in need at this time.  Learn more ➡ https://bit.ly/3pSmI0m  COLORADO.EDU Buff Pantry Marshall Fire Resources,2022-01-04 00:46:02,This was so easy to order from Amazon. Keep sending this post over and over! Let’s flood the pantry so all of CU who lost everything can get a few items.,So glad you have an Amazon wish list::: I was able to send some items directly to the food pantry where I know people that need it will get it. Thank you!,Thanks for letting us know how to help! Amazon wish list was a great resource! 🦬 ❤️🦬,Love the wish list! It makes it so easy to help ❤️,✅ Donation made. Thx for sharing Amazon link!,Thanks for making it easy for us to help!,Just ordered things from the wish list. FYI there are several items that are unavailable because Amazon has re-branded them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One day::: human astronauts could live in the protected environments of pits and caves on the moon. A new study seeks to better understand what the environments may be like within these craggy features. 🌚  Learn more ➡ https://bit.ly/3qGoIYx,2022-01-03 13:07:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations to Outstanding Graduating Senior Ariel Flach::: a dual degree student earning both a Bachelor of Music Performance (flute) and a Bachelor of Music Education! Ariel personifies the CU Boulder College of Music’s vision of the “universal musician:::” emphasizing students’ preparedness for flexible careers through enhanced education.  COLORADO.EDU Outstanding Graduating Senior 2021: Ariel Flach,2022-01-02 23:39:03,Congratulations !,Congratulations !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taking a look back at 2021 shows a community of perseverance. Buffs safely made a number of COVID-19 comebacks with favorite traditions; showed dedication to inclusive excellence; worked toward healing in the midst of heartbreak and injustice; welcomed newcomers such as Ralphie VI; won prestigious awards for scholarship and expertise; cheered on Olympians and remarkable student-athletes; listened to the perspectives of a variety of guest speakers; and more.  COLORADO.EDU Taking in 2021: Reflecting on the year at CU Boulder,2022-01-02 14:36:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
