🗣 Attention future Illini  The freshman application deadline for Fall 2022 admission is due TONIGHT at 11:59 p.m. CST.  Best of luck::: and we hope to see you on campus this coming fall. 🧡,2022-01-05 11:46:00,One of the best decisions I ever made was to attend U of I!! Graduated Class of 2002,Welcome to the future UIUC students.,Thanks 🙏😊 I see myself at UIUC for Fall2022.,👍,Should we go back Torri McTeague Alexa Majus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four years. Free tuition. That’s #IllinoisCommitment.  Learn more and see if you might qualify ▶️ admissions.illinois.edu/commitment,2022-01-04 17:49:17,Sorry boss I have to pass on the promotion the raise will eliminate my kids tuition. Nice incentive for workers,Meanwhile College Illinois! 529 doesn’t include screw of i in its list of state schools we can get a tuition freeze for when we started saving into it. so while i saved for my kids’ tuition since they were born i knew from the jump my kids wouldn’t go to my alma mater.,I guess I’m a fool for stating a college funds for my kids !! Because we don’t get a darn penny for either of my kids. 2 kids in college and we are laying FULL price. Because we are married and we both have jobs we don’t qualify for any scholarships grants or financial aid ….,I’m surprised there’s so much hate in these comments. The fact that this program is helping so many is a miracle:::! it would have been so difficult for students like me to afford going to U of I otherwise. Let’s look at this program as a great start::: I’d love for programs to expand to families with more income. It’s wild that fafsa works off parental income while many parents do not contribute to college education.  Still commitment was is a godsend to 30% of students so that’s a major win.,"This completely irritates me. Many parents save for college tuition and are getting ""punished"" for being responsible. Never liked this school.",How lucky for them. Guess they are able to pay for it with the high cost of out of state tuition that we're paying.,Thank you donors for your commitment 💙🧡💙🧡,"Who is paying for the ""free tuition""? ...KATHLEEN",It's no surprise that UIUC should toe the line with other Illinois organizations in the mismanagement of your hard earned money.,Unfortunately getting charity is a poor motivator.,No wonder they’re so broke.,I could have used an Illinois Commitment,Where was this money 8 years ago?,👏👏 rising tide raises all boats,While the middle class drown. Thanks for nothing!,Is the state funding trade schools and apprenticeships for those not going to college who still want a good paying job?,I guess I’m a fool for stating a college funds for my kids !! Because we don’t get a darn penny for either of my kids. Valedictorian of his class and no merit based scholarships available because merit based scholarships are based on Financials not actual merit. We are paying FULL price. Because we are married and we both have jobs we don’t qualify for any scholarships grants or financial aid ….,Bryanna Kelly,Bryanna Kelly,Top fan Soedodo Hardjoamidjojo,Nicholas Gonnella welp looks like I’m only 14 years late 😆,Jenny Assignment-Help,Keeping this to myself isn't a good idea::: I decided to tell everyone so you'll benefit from her. Earn successfully in Binary Options with the help of my account manager Mrs Vanessa Shari trading platform. She's trusted and reliable Vanessa Shari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illini sunsets 🧡💙,2022-01-03 22:20:01,Absolutely breathtaking. Ours have been beautiful here too.,I am afraid this barn/long standing landmark will be torn down. So few round barns remain! What a beautiful picture!,This looks like the round barn in a park north of Kewanee::: IL. Knowing that site I think it is a sunset picture. Of course::: I could have it misidentified then I it could be either. That’s the only round barn I know of.,Do you know why the sky is blue and sunsets are orange?? Because even God is an Illini fan!!!!,“…Amid the broad green plains that nourish our land…”,Downstate Illinois will always be my home….. 🙏🏾,Amazing picture! Great job !,I am confused. Is this sunrise or sunset? The same picture was posted several hours earlier today.,Beautiful view.,Beautiful as ever !,Krista Reinking,🧡💙,Wow,Lisa Unzicker-Wilson,🧡🌞💙,Cathy Bernoski,Beautiful photo!,Awesome!,Gorgeous,Beautiful,So beautiful!,So beautiful 🤍,So pretty!,Beautiful,BEAUTIFUL,Hail to the orange!,Stunning!,Beautiful,Just gorgeous!!,Wow! Stunning!,Love it!!,Woohoo!,So Pretty,Jenny Assignment-Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A few reasons to join the Illinois family:  🔸 #15 among U.S. public universities by U.S. News & World Report 🔹 #22 in the world by Center for World University Rankings 🔸 Top ten best college town by Livability  Calling all future Illini: apply to #ILLINOIS—the deadline is Jan. 5! ▶️ admissions.illinois.edu,2022-01-02 17:54:00,"We love no other so let our motto be victory Illinois varsity!""",Good environment for learning,Good 👍,I were 3 years! Loved it!,Happy New Year 2022 to all UIUC alumni.......,Jenny Assignment-Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Here's to a brighter 2022. ✨ Happy New Year::: Illini!,2022-01-01 18:37:58,Happy new year 🎊,Happy New Year UIUC,Lourdes Carbajal,🧡💙,❤️❤️❤️❤️❤️❤️❤️🙌🙌🙌🙌🙌🙌🙌🙌,Happy New Year 2022::: Illini.👍🏿👍🏿,Nice,I L L !,Pretty picture!,I-L-L!,Very. Cool.,Here’s our block I Emma Manukian,Happy New Year ！,Jenny Assignment-Help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some of our favorite moments from this year. 🧡,2021-12-30 17:10:41,Thank You For Your Wonderful Photos UIUC,Hello... Friends::: I'm kennedy Cyril from Nigeria and I'm new in the UIUC online course.,🧡💙,Happy New Year::: friends!!! 🔶🔷,💛💙,My fav::: that win over Penn State. I was pacing all over the house. Power football! Go Illini!,Go::: Illini::: go.....,Happy New Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you could have a conversation with a younger version of yourself::: what would you say?  #ILLINOIS students look back to high school and offer some advice they wish they'd been given.  BLOG.ADMISSIONS.ILLINOIS.EDU Illini Advice: ""What I Wish I Knew in High School"" - UIUC Admissions Blog",2021-12-29 19:38:01,Go to an Engineering school that places more emphasis on teaching the students instead of research and bringing in the big money. Once you have your first job:::::: the name of the school doesn't matter.,Go to ALL of the classes. Don't take so many 300 level history courses. Study more for the classes you dislike.,Love UIUC ... It was the opportunity of my life.... BSEE ...,It will be the greatest years of your life::: so captyre as much of it as you can- cause it goes faaassst!,Don’t go with the crowd. Remember the values your parents raised you with. Stand up for what you believe in::: even if it means standing alone.,It gets better. Just do the work.,Attend football and basketball home games,Change majors! Elementary Education is too much; way too much.,Don't go to u of I lol 😆😆😆,University of Illinois Urbana-Champaig n Do I get any residuals for being in this picture??,Wait till you are 30+ to talk to your younger self because you still knew nothing in college 😉,Schedule six classes::: keep five.,Look at u now,If you are an engineering student::: do NOT try killing yourself by trying to keep up with 15 hour loads. Slow down if you must and take 12 hours. It will be irrelevant 20 years later if it took you 5 years instead of 4 years to graduate..,All about balance. Study::: but not too hard. Party::: but no too hard. Make life long friends. This will carry you.,Don’t worry about anything. You invent a time machine.,https:// www.teechip.com/ bogosa-bake,Jenny Assignment-Help,Buy stock in Pfizer::: Moderna::: J&J::: the paper face mask manufacturers::: the stocks out of CCP China that the bought politicians are buying::: and BS manufacturers. Fill your closet with TP and sanitizer. Avoid stocks in things that make common sense or have to do with American values and freedoms. That is::: if you want to get wealthy on BS. 👍🏻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Illini family is the best family. 🔸🔹  Future Illini: join us and apply by Jan. 5! ▶️ admissions.illinois.edu,2021-12-28 15:56:03,Top fan Soedodo Hardjoamidjojo,We::: I and my family::: were there::: 1984 - 1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That glow. ✨✨  Everyone is invited to stroll through the grounds of Allerton Park and Retreat Center::: adorned with festive lights & attractions for Holiday GLOW::: now until Jan. 15! ▶️ bit.ly/32jUKRV,2021-12-27 16:14:00,Allerton was a great retreat as a doctoral student at UIUC. A wonderful place of peace and relaxation.,One of my favorite boyhood memories. Picnic lunch exploring these grounds. ❤️,One of the most beautiful college campuses ! #illinimom2021gr ad,THANK YOU to our generous sponsors who make this community event possible!,Bridget de la Cruz,Awesome sights.,Funny you should send this::: it’s the first thing I thought of is that are we going to be able to still do that before it’s down. I really want to do this with you do you think will still be able to,Mike Gregory,So pretty! Jessica,This is AMAZING!,Elise Guillen,Kaitlyn Sommer we should go when we get back!,Sydney McKee,Morgan Nolan,More lights to see Courtney Hatten,Ady Salado,Yes,Wow that is really pretty !!,Anahi Talitha let’s gooooo!!!!,Christine Kokernak Smith👀until January 15th!,Tuyen Bui,Kristen Marie,Karen L Adams Tolley ...fun place to take the kids...,Stav Ashur,Jessica Bassett,I want to see ! Jacob Schab,Adeline Molloy,Tim Lewis,Marilyn Talbott,Dan Talbott!,Mekoh Davis Terriana Brown,Queenn Shae Jourdan Pearce,Luke Voorhies,Kelsey Stevens,Monica Orcutt Weber,Brélyn Robinson,Lilliana Romero,Chase Martinkus,Jeff Aldridge,Courtney Seckman pretty,Liz,Brie Beck we got to one night,Jarvis Smith,Rakeem Shamar Sallee,Zay Forgiato,Mohamed Mady Mostafa Adel,Isaac Herrera,Precious Mcgruder,Jae Yong Lee,Top fan Tony Billions,Patty Lynn,Jayson Jay,Rachel Daugherty Hernandez. Letsss goo,Jeff Turner,Urbana University vs. Blue Ridge - Illinois High School Basketball Live Scoreboard 🔴🎥𝐖𝐀𝐓𝐂𝐇 𝐋𝐈𝐕𝐄 ▶️ http:// world-sporting.b ejadkeun.com/ hs-basketball.ph p?live=Urbana+U niversity+vs.+B lue+Ridge Illineks @ Knights The Blue Ridge (Farmer City::: IL) varsity basketball team has a home non-conference game vs. Urbana University (Urbana::: IL) today @ 5:30p.,Oh my University!,Very awesome!,BEAUTIFUL,Chloee Symone let’s go here next,Karina! We should go!,Blake Haas back up?,Phillip Aliano let’s go!!,Jared Schonert maybe we should go.,Beautiful.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's on your winter break reading list? 📙📘  Liberal Arts & Sciences at Illinois students share the books they plan to read this winter.  LAS.ILLINOIS.EDU What's on your winter break reading list?,2021-12-23 15:16:27,Merry X-Mas 2021 and Happy New Year 2022.,2021/10/15(9)  https:// www.facebook.com / 157793094819088/ posts/ 848128485785542/  Taiwan For your reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A winter solstice sunset. 🌅  The sun descended on the shortest day of the year over a reflecting pond at Allerton Park and Retreat Center. The grounds are home to a mansion that was originally built in 1900 as a private residence by artist & philanthropist Robert Allerton::: who later donated it to the university in 1946.,2021-12-22 15:27:26,Merry X-Mas and Happy New Year 2022 to all.,Absolutely beautiful!!🤩💙🧡💙🧡,very nice 👍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As we head into winter break::: we want to share a few guidelines for Illinois students::: faculty & staff about returning to campus for the Spring 2022 semester:  + receive two negative COVID-19 tests::: at least three days apart + the first week of the semester will be online + get your booster when you're eligible  Learn more about our protocols. ▶️ covid19.illinois.edu/spring-2022-guidelines,2021-12-21 17:15:55,I like that Illinois is doing what they can to keep my son safe.,Does the first test need to be a PCR or can it be a rapid test?,Students can still return to campus Jan 16?,I sure wish there had been some strategic planning when sending them home….. daughter came home with Covid.,The whining of grown adults on here::: dang. So embarrassing.,What a joke. Get back to on site schooling. Remote is not equivalent. Students are under prepared and tuition should be refunded.,Universities are helping to spread fear over COVID unnecessarily. They add fuel to the government’s self-induced conflagration. Students should make these institutions sign documents that hold their school responsible if they are harmed in any way by getting these injections. No restrictions should be imposed on time of lawsuit or monetary rewards.,U of I is the most expensive online degree ever!,Guidelines? How about requirements???,Does this apply to grad students as well?,They should refund 75 percent of the tuition::: poor parents..,Reading this makes me know that my daughter made the right decision about transferring to another University. The students here will be getting never ending boosters until they graduate. Only time will tell what long term side effects these healthy young adults will face down the road. 😔,Lol...two negative tests three days apart...lol.. Yeah::: you just passed your driving test but you need to come back in three days and re-take it...,Caleb Noble,Makayla Zarebski,👍,👏👏👏👏,Yes::: get your booster that fails to protect the protected 🤔🙄🤣,Happy Holidays!,Ridiculous,Stop the test...just get the shot....no test,Get your untested vaccines that cause sickness and long term complications in some,Stop. Mandates::: vaccines::: masks::: lockdowns:::socia l distancing don’t fully work snd in some cases don’t work at all,I want to testify about crown technology atm cards which can withdraw money from any atm machines around the world. I was very poor before and have no job. I saw so many testimony about how crown tech send them the atm magic card and use it to collect money in any atm machine and become rich. . For details on how to get a card today::: email the on atm.tecnology@g mail. com YOu can also Whatsapp: +12134218707 I email them also and they sent me the magic atm card. I have use it to get 90:::000 dollars. withdraw the maximum of 5:::000 USD daily. crown technology is giving out the card just to help the poor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations::: #ILLINOIS graduates! 🎓  Our graduates go on to change the world. And now more than ever::: we're proud of all they have already accomplished. Students and families celebrated commencement all week long::: including at the University of Illinois College of ACES ceremony at Krannert Center for the Performing Arts.,2021-12-20 17:00:44,Congrats to all 🧡💙,Congratulations on your hard work!,Congrats to all the graduates and good luck.,Congrats to you. All !!!!,It was a wonderful ceremony!,Congratulations .,Congratulations !!! 👏🏻👏🏻👏🏻,Congratulations 🎊,Hail Alma Mater,Congratulations 🎈,Congrats!!!,Congratulations !!! 👍,Top fan Debajani Swain,Silvia Llamas,👏🏽👏🏽👏🏽👏🏽👏🏽🥳,👏🏽👏🏽👏🏽,Congratulation to all of the 2021 UIUC graduates...,Cheryl L Ellison Tamara!,I want to testify about crown technology atm cards which can withdraw money from any atm machines around the world. I was very poor before and have no job. I saw so many testimony about how crown tech send them the atm magic card and use it to collect money in any atm machine and become rich. . For details on how to get a card today::: email the on atm.tecnology@g mail. com YOu can also Whatsapp: +12134218707 I email them also and they sent me the magic atm card. I have use it to get 90:::000 dollars. withdraw the maximum of 5:::000 USD daily. crown technology is giving out the card just to help the poor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
