Duke's Eve Puffer started an initiative in Kenya to improve family relationships and promote mental health. See how she and her team recently adapted the program to meet the needs of Durham families  BASSCONNECTIONS.DUKE.EDU Fostering Resilience for Durham Families During a Stressful Time,2022-01-07 15:10:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesterday ➡️ Today,2022-01-04 19:14:40,Gorgeous campus in both photos.,More beautiful with snow!,It is an incredible campus. I can never get enough photos of it 😍,❄️☃️☀️☀️💙💙😈😈 - GO DUKE,Beautiful place!,Go Duke Blue Devils day,Awesome place to be.,Beautiful campus::: great university!,What a difference a day makes 🙂,Love NC - never predictable or dull.,What a day! I love my dear old Duke!,welcome to Durham Duke students,Nice....today 😉😉😉,It was more like 9am —> 12pm on the same day 😂😂,I've been there on days like that.,🤩🤩🤩,So true.,Beautiful Duke Campus!,West Campus looks even more like Princeton when it snows!,Should’a done a “day before yesterday” too 😂🤣,Erin Lee Ferguson,Victor Lui,Catherine McMillan this defines duke,"As the old familiar popular song went::: ""What a Difference a Day Makes"". Winter surely has arrived.",Blue 💙 Devil sky :),Beautiful campus .,Chul Jong Yung,Sophie Bricker,Victor Lui,Victor Lui,Victor Lui,Sam Rosso,lol,NC weather for ya! 🧐,My Granddaughter is the same age like her and my granddaughter is in 11th grade like Kaitlyn::: my granddaughter goe to College in the mornings and at noo she goes to school::: she is a straight A's student::: Captain of the soft ball team in her school. Precious girl her mom have.,Ansh Nasta,Kami Sheikh,Climate change lol,Georgia Tech vs. #2 Duke (M Basketball) https://bit.ly/ 3pSsKxW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As we age::: so do our brains::: but Duke cognitive neuroscientist Edna Andrews is studying a long-term solution to countering the decline. She and her team found that learning a new language or a new instrument can increase cognitive brain reserve  RESEARCHBLOG.DUKE.EDU Keeping the Aging Brain Connected With Words and Music - Research Blog,2022-01-03 15:03:01,Edna! One of my favorite professors::: who made me think about the brain and language in whole new ways! Thrilled she’s doing well and continues to be awesome!,Edna Andrews::: one of the best!  Duke in the Soviet Union trip was an amazing experience!,Nice::: congrats! So many great memories from your classes back in 87-91,So nice to see her face! Edna still rocking across disciplines ❤️,Great article! Thanks for sharing!,Look out harmonicas that have been sitting in my desk for 2 years. . .,One of my favorite Russian teachers too! Go Edna!,It is true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy New Year::: Blue Devils!,2022-01-01 13:50:00,Happy New Year to all!🎊,Happy New Year and the best is yet to come ✔️,Happy new year 2022🎉🎉,Happy New Year🎇,Happy new year blue devils,Looking forward to my son starting school in the Fall Duke University 🎉🎉,Happy New Year,Go Blue Devils for a Happy and Healthy 20222 !!!,Great picture! Happy New Year Go Duke💙,Happy New Year!,Happy New Year,Happy new year blue devils,Ana Oreamuno,Rebekah,Gina Giannini,Happy New Year !,💎💎💎,I don't think I've ever seen fireworks at Duke...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-9-8…as we prepare to ring in the new year::: let's look back at Duke's top 10 Instagram posts of 2021. Be sure to follow us on Instagram to glimpse life at Duke ➡️ https://www.instagram.com/dukeuniversity/,2021-12-30 16:51:42,I wish I could Join you one day. <3.,Alex Bartlett,We are Duke::: thank you for hosting my daughter in her MBA::: greetings from Peru,Go Duke,Happy New Year,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,💙💙💙💙💙💙,I'm a bit worried and depressed.. because I don't know how to get to the campus to seek for an admission...it pains my heart 😔😔😔😔💔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's no place like Durham for the holidays 💙,2021-12-29 14:25:27,Looking forward to visiting in January!,I don’t know how to break it to you…,Beautiful!,Henry Junker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The prelude to a bright new year,2021-12-27 16:43:03,💙🙏,21,Hope so,I can wait,1*sx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new program at Duke is bringing together engineering and computer science graduate students to develop the next generation of smart robotic surgical instruments. The Research Traineeship Program is funded by a $3 million grant from the National Science Foundation (NSF)  PRATT.DUKE.EDU Cross-Training Graduate Students to Develop Smart Robotic Surgical Instruments,2021-12-27 15:58:02,Virginia Fernández González that could be your future?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishing everyone a warm holiday season of peace::: joy::: and hope — Merry Christmas and Happy Holidays,2021-12-25 19:26:59,Really enjoyed watching the Livestream service from Duke Chapel last night ✨❣️🌟,Merry Christmas!,Merry Christmas!!!🎄,MERRY CHRISTMAS,Merry Christmas - Go Duke!,Merry Christmas to all….,Merry Christmas. Love the view ❤️,!Merry Christmas and Happy Holidays!,Merry Christmas Duke family 🎄,Merry Christmas! 🎅,Merry Christmas! The view looks amazing,SO PRETTY HAPPY HOLIDAYS ❤️❤️❤️❤️❤️😍😍😍🥰🥰🥰❄️❄️🎄🎄🎄,merry christmas,I was losing hope of seeing a Merry Christmas post from Duke! Thank you!,Merry Merry Christmas 🌲🥁🎶,Dream college!!!! And happy holidays 🖤😊🎄,Merry Christmas,Merry Christmas 🎄🎁. The view uis awesome.,Amen 🙏🏻,Beautiful scenery! Merry Christmas and a Prosperous New Year to the entire University Community. Blessings!,Happy New Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Duke moves toward a new residential plan called QuadEx::: university archivist Valerie Gillispie recalls another major shift in campus history — when housing went co-ed in 1972: https://fal.cn/3kTNE,2021-12-24 15:08:03,Yep::: I managed to arrive just as that started in the fall of 1972 😝,"My mom::: Barbara Buschman (Class of '46)::: was Duke's Housing Coordinator during this time (until she retired in '93 after 47 years of employment at Duke). Many times over the years since her retirement::: upon hearing that Duke had tried something ""new"" in student housing::: she would say: ""Yeah::: we tried that back in the ____ (ex. ""late '70's"")... it didn't work then either."" If she were still with us (she passed in 2018 at 94)::: she would surely have something to say about this time too.",I was there! House H!,My husband was a senior::: he had to go live in Pegram.,Duke QuadEx,QuadEx . . . this sounds stupid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
