Happy new year::: Cyclones!,2022-01-01 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A City of Ames snow ordinance will go into effect at 9 a.m. Saturday::: Jan. 1. Remember to move vehicles off snow routes to avoid being ticketed and towed. ℹ️ www.cityofames.org/government/departments-divisions-i-z/public-works/operations/snow-ordinance-and-removal  CITYOFAMES.ORG Snow Ordinance and Removal | City of Ames::: IA,2021-12-31 23:00:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMINDER: University offices will be closed Dec. 23-24::: 27 and 31. Please check websites or contact offices in advance for other reduced hours/closures during winter break.,2021-12-22 19:00:08,Amazing university,cool photo,Joli paysage sous la neige. GROSSES BISES Mamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State University added 30 new photos. 20 December 2021 г.::: 15:40 · Дополнительные настройки  Images from the Dec. 18 undergraduate ceremony by university photographer Christopher Gannon.,2021-12-20 21:40:30,💞,Way to go Abby Espinosa-Gonzal ez Bellolio!!!!,Congratulations to all!!!,Congratulations 🎉🎈🎊👏👏👏🥰,Congratulations ::: everyone! Thank you for sharing these wonderful pictures. I wanted to like them all! Still very happy to say I'm an ISU alum!,Congratulations !!,Congratulations to all the graduates!!!,Great ceremony!! 🎉Congratulations to all the new graduates! ❤️🎓💛,Great pictures!,Congratulations !!!!,congrats to all!,Nice pics Christopher Gannon!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations to the more than 1:::900 Cyclones who graduate in ceremonies today and tomorrow. Visit the graduation website for more information::: including livestream links and an app for the event. 🎓 #CycloneGrad  GRADUATION.IASTATE.EDU Graduation & Commencement | Iowa State University,2021-12-17 16:10:06,Congratulations !👏👏👏👏,🙆🖖,Ahmed Samaha,How do I study there can anyone help?,Congrats ❤💛,Laura Hernández Gregorat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State University Office of Admissions 16 December 2021 г.::: 11:45 ·  This is your moment. Make an impact. Stand for a cause. Find your people. Apply now at admissions.iastate.edu.,2021-12-16 22:26:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best wishes for a happy::: hope-filled 2022 from President Wendy Wintersteen and Robert Waggoner. Watch: www.president.iastate.edu/communications/holiday/2021,2021-12-16 16:43:04,Good memories. 💘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In a campus building? Prepare for severe weather by reviewing the emergency map for your location. ℹ️ https://www.fpm.iastate.edu/maps/ Using the interactive map::: click on the building and then the ""EH&S Emergency Maps"" link.  FPM.IASTATE.EDU fpm.iastate.edu",2021-12-15 21:20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State University Police Department 15 December 2021 г.::: 09:54 ·  ISU Alert: Due to severe weather::: Iowa State University will partially shut down today at noon. https://www.news.iastate.edu/news/2021/12/15/wxupdate,2021-12-15 15:55:53,Gina Elrod,Please notify places were students can stay if they don’t have a tornado safe place to stay,Jennifer Nofzinger Leholm,Thank you!,Stay safe...everyone there on campus is in my thoughts...as is our much-loved campus and campus buildings 💕,Caleb Luke please be safe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please stay aware of the severe weather threat for our area tomorrow (Wednesday::: Dec. 15). A high wind warning has been issued.  US National Weather Service Des Moines Iowa 14 December 2021 г.::: 07:28 ·  [OUTDATED POST]  Scattered thunderstorms are possible Wednesday afternoon through the evening::: some of which could become severe. Threats with any severe weather include damaging winds and isolated tornadoes. Stay tuned for updates as further details continue to unfold!,2021-12-14 21:25:25,What are you guys doing regarding this and the final exams?,Elizabeth Plunkett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
