"Dr. Richard H. Linton has been named the 15th President of Kansas State University by the Kansas Board of Regents.

We welcome the Linton family to #KState and look forward to a promising future.",12/2/2021 11:06,"Congratulations
President Linton! We are all rooting for you. Welcome to the family.",Welcome Dr. Linton. Purple looks good on you!,Congrats Dr. Linton! Excited to have a land-grant alumnus leading our alma mater!,Welcome to KSU and Manhattan!,WOW! From my current university NC State University to my alma mater! Congrats Dr. Linton::: we will miss you at NCSU::: but I hope you fall in love with Kansas State University and Manhattan!,"Congratulations
and welcome to the #Family! 💜",Looks like a great choice!,"Congratulations
👏 👏!",Welcome to KSU,Welcome to Manhattan and KSU !,"Congratulations
and welcome to K-State!","Congratulations
Mr. President","Congratulations
Dr. Linton! All the best.","KANSAS ST. vs SOUTH CAROLINA
📺Watch live : http://
knoketv.realunit
edsports.com/
ncaa.php",Another old white man. That is surprising.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Kansas Board of Regents has announced a special meeting at 10 a.m. on Thursday::: Dec. 2 in the K-State Student Union to name the 15th President of Kansas State University.

The meeting is open to the public and will also be streamed. Learn more at www.k-state.edu/today/info/announcement/?id=79136.",12/2/2021 0:26,My plan time is at 10 so I’ll be streaming this. Come swing by 👀 Mikaela,Nice picture of KSU!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
☀️ #CaptureKState,12/1/2021 14:49,Beautiful ♥️,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deciding where to go to college is a big decision. You are choosing where to call home for the next few years while pursuing your dreams. As a K-State Wildcat::: you receive more than an education – you become part of a connected community.

There is nothing like cheering on the ‘Cats with your fellow students or living in the residence halls with the K-Staters who will become your life-long friends. With more than 250 majors::: 500+ student organizations and an opportunity to get involved in award-winning research::: there is something for every student.

Learn more and apply by the end of the day::: Wednesday::: Dec. 1 to maximize scholarship opportunities. k-state.edu/apply.",11/30/2021 15:18,Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Join K-State Housing and Dining Services tomorrow at 7 p.m. to learn about housing at K-State.

K-State Housing and Dining Services
November 29 at 9:50 AM ·

Join us at 7 p.m. Central time on Tuesday::: Nov. 30::: as we go live to talk about how to obtain housing on campus at K-State for new::: incoming residents. This webinar be an excellent time to learn about the contracting process and have your questions answered. Visit bit.ly/3xyjSzH for Zoom access.",11/29/2021 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Thanksgiving from our family to yours!,11/25/2021 13:45,"https://
www.today.com/
video/
kansas-family-re
unites-for-cent
ury-old-thanksg
iving-tradition
-127162949560?f
bclid=IwAR0e6uH
qhmzFwEXK-c8TuT
ch2_V7ERF0x9WvY
zxAOTORWHB-9P8V
IECJv44",Happy Thanksgiving,"Kansas vs North Texas
#gameday
#matchday
((((LIVE)))) : http://
sportcompetition
.livestreamings
ports.online/
ncaabasketball.p
hp",Happy thanksgiving,"Texas vs Kansas State
#gameday
#matchday
((((LIVE)))) : http://
blog.livestreami
ngsports.online
/
ncaafootball.php","Texas Longhorns vs. Kansas State Wildcats
http://
sonylive.streamw
atch.in/
football.php","Good days guys 🔥
⏰ 5:00 PM CST
North Dakota vs. Kansas State || NCAA Men's Basketball 2021
📺 𝐖𝐀𝐓𝐂𝐇 𝐋𝐈𝐕𝐄 👉 http://
bbc.nationalspor
ts4k.com/
ncaa.php?live=No
rth+Dakota+vs.+
Kansas+State

"" Please click this link to be able to enjoy the legitimate show """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A unique aspect of K-State is the abundant amount of artwork around the campus.

Located in the Staley School of Leadership Studies::: Untitled Sculpture Number Four is a piece designed to dissolve the line between inside and outside. The pillars are filled with doodles submitted by Staley faculty and staff. Do you have a favorite campus sculpture?",11/23/2021 20:58,The giant spork,"Texas vs Kansas State
#gameday
#matchday
((((LIVE)))) : http://
blog.livestreami
ngsports.online
/
ncaafootball.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enjoy fall break::: Wildcats! Take some time to relax and we will see you back on campus Nov. 29.,11/19/2021 22:00,"Kansas State Wildcats vs Abilene Christian Wildcats
📺Watch live http://
knoketv.realunit
edsports.com/
ncaa.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"December 1 is a big day for incoming first-year Wildcats! Have you checked the box yet?

✅ Apply to K-State for the fall 2022 semester.
✅ Submit your FAFSA.
✅ Complete competitive and test-optional scholarship applications::: if applicable.

Learn more and start your K-State journey at k-state.edu/apply.",11/18/2021 22:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winter in the midwest can be unpredictable.

Sign up for K-State Alerts and download the Rave Guardian app to receive university delays::: closures and safety announcements. Learn more and review the inclement weather guidelines at www.k-state.edu/today/announcement/?id=77984.",11/17/2021 19:59,Xavier Pitula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The sun is shining::: it's hammock time!,11/16/2021 15:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
