That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🎶 Reunited and it feels so good 🎶 It's great to have Jayhawks back on campus!,2021-11-29 09:24:00,Rock Chalk Jayhawk!!!,Until Omicron shuts things back down........... btw: Rock Chalk Jayhawk Ku!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU’s Suzanne Shontz::: professor of electrical engineering & computer science::: is the first woman to receive the international award for meshing — a mathematical and computational process of building geometric objects out of many shapes.  NEWS.KU.EDU When everything meshes,2021-11-26 21:42:02,⏰ 1:00 PM CST Kansas vs. Iona || NCAA Men's Basketball 2021 📺 𝐖𝐀𝐓𝐂𝐇 𝐋𝐈𝐕𝐄 👉 http:// month.sport-netw ork4k.com/ ncaa.php?live=Ka nsas+vs.+Iona  ___ Please click this link to be able to enjoy the legitimate show ___,📝I found quality papers and super discounts🎁 here! Always timely delivery! My exam session is over long before Christmas!🎄 📌https:// speedypaper.com/ order?rt=n5Qh0Ar K&discount=NOPL AGESSAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mount Oread isn't the only place where Jayhawks enjoy magical views.  📷: Shbeab Alzabi is no stranger to globetrotting. Although KU is far from his native Kuwait::: the computer engineering major is a proud Jayhawk. ""My siblings are alumni. That was a big part of me choosing KU. I love the community of Lawrence and consider this place home."" We couldn't agree more. Rock Chalk::: Shbeab!",2021-11-26 17:01:10,Gee to bad the that didn't rub of they can't even bet an un rank team they got to come to play and be a team stop reaching in,Rock Chalk #GlobalJayhawks! #studykansas #youarewelcomehe re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Kansas School of Business has received a $2 million gift from the Lockton family that will set up a path for undergraduates minoring in business and for MBA students to earn the school’s Jack Lockton Certificate in Insurance and Risk Management.  NEWS.KU.EDU Lockton family gives $2M to expand KU insurance certificate program,2021-11-24 19:53:02,A terrific gift from a wonderful family. Rock Chalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today::: we're grateful for Jayhawks like YOU – all around the world. Rock Chalk!,2021-11-24 17:01:08,And we’re grateful to be a Jayhawk::: Rock Chalk!,Rock Chalk! ❤️💙,Rock Chalk!,"""Once a Jayhawk Always a Rock Chalk JAYhawK"" ❤🌻💛 ~~""Go KU"" ❤💛❤💛😊",Rock Chalk!! 💙,Jayhawks are all over including the Bahamas! Rock Chalk Jayhawk!,I was walking down the street in Freeport Bahamas with my KU shirt on and a man walked by me and said Rock Chalk Jayhawk!,Rock Chalk…,Rock Chalk!,RCJH! 💙❤️💙❤️,Rock Chalk Go Jayhawks!,ROCK CHALK JAY HAWK,Rock Chalk,Us too,Shawn Connor 🤔,Go KU!!!,Rock Chalk Jayhawk K U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaves may be falling::: but Jayhawks keep rising. 💫,2021-11-24 01:08:23,Beautiful! Miss the days on campus.,I miss this place::: this is where I truly fell in love with Kansas,NCAA Men's Basketball DIVISION I Kansas St. vs. Illinois 🎥𝐖𝐀𝐓𝐂𝐇 𝐋𝐈𝐕𝐄 👉 http:// boboko.vipbroadc ast4k.com/ ncaa.php?live=Ka nsas+St.+vs.+Il linois 🕑 Tuesday::: November 23 2021 @ 7:00 PM EST,Can you guide me please . How to get Fully funded scholarships in USA or UK,🔥 Grab your discount & superb papers even if deadlines are strict! It’s time to think about Christmas preparation::: not exams! 😉 https:// writepaperfor.me / place-new-order? rt=kyh1QMik&dis count=ORIGINAL,Always loves the autumn colours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU program that surveys people with disabilities about their health has received a $600:::000 grant to also study their COVID-19 pandemic experiences. The study will include LGBTQ+ individuals and people of color with disabilities.  NEWS.KU.EDU Study: COVID-19 pandemic experiences of people with disabilities,2021-11-23 16:40:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students can develop into leaders in the field of homeland security through two new online graduate-level programs offered by the KU School of Law —a master’s degree and a certification — in homeland security law and policy issues.  EDWARDSCAMPUS.KU.EDU New online homeland security graduate programs equip students with specialized industry knowledge,2021-11-22 19:39:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🍃 Ch-ch-ch-changes 🍂,2021-11-22 16:33:02,Possibly the most beautiful college campus in the USA!,From football into basketball 🏀 Rock Chalk Jayhawk!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How will climate change affect water supply and demand issues in Kansas? KU researchers have received a federal grant to help the state’s water managers incorporate the latest scientific models of climate variability in making water supply plans.  NEWS.KU.EDU Researchers team with Kansas Water Office,2021-11-19 11:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
