From the moment you first step on campus::: you have the opportunity to create a lasting impact that reaches far beyond just your community.  What will you do at OU? The journey to creating something special starts here.  This is YOU at OU.,2021-09-07 10:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Nancy E. Snow::: an OU professor of philosophy and director of the Institute for the Study of Human Flourishing::: was published in The Oklahoman exploring the concept of civility and the interference of ""noise"" in today's conversations.  Read more via The Oklahoman: https://link.ou.edu/3sXly5l",2022-01-04 16:01:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Well done to OU epidemiologist Aaron Wendelboe. A great read in the Tulsa World about the research he is conducting to interact with the ""public"" in public health.  Lead On::: Dr. Wendelboe. ☝  TULSAWORLD.COM People to Watch: Epidemiologist Aaron Wendelboe's focus is 'public' in public health  Tulsa World 2 January::: 03:31 ·  As a researcher::: the past two years presented him a conundrum: The public wants consistent::: straightforward::: yes-or-no answers::: and those don't always exist::: he says.",2022-01-03 19:05:36,So it behooves the scientific and medical communities to be transparent and honest. Something they seem to struggle with.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations are in order to our own President Harroz and OU Law Assistant Dean Stanley Evans on being honored as 2021 Oklahomans of the Year.  Read more via Oklahoma Magazine: https://link.ou.edu/3mOk75G,2022-01-03 14:58:43,Congratulations for this well deserved honor and recognition!  OU Black Alumni Society OKC/Norman Chapter,Congratulations ::: Dean Evans!,Congratulations ::: gentlemen! Well done!,Congratulations !,Congratulations !,Congratulations and Boomer Sooner!!!,Congratulations !,Congratulations !,Congratulations !,Congratulations 🎈🎉🍾,Congratulations Presedent Harroz.,Congratulations !,Congrats!,Go::: Stan!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey 2️⃣0️⃣2️⃣2️⃣ - we’re ready for you.  Happy New Year to our OU family! ☝️🎉,2022-01-01 14:47:18,Happy New year so excited to be going to our this summer,Happy new year! My son graduates next May! His final semester coming up! What a journey-he is a Marine Veteran,HAPPY NEW YEAR 🎊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
𝟐𝟎𝟐𝟏. A year full of growth::: creating lasting memories::: and the promise of a bright future for our #OUFamily. As this year comes to a close::: we look forward to what's in store for the upcoming year.  See you in 𝟐𝟎𝟐𝟐::: OU! Live On::: University. ☝,2021-12-30 16:14:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Bowl 𝐂𝐡𝐚𝐦𝐩𝐬! 🏆  What a night for Oklahoma Football. Congratulations::: Sooners! #Boomer ☝️  Oklahoma Football 29 December 2021 г.::: 23:40 ·  One to 𝙧𝙚𝙢𝙚𝙢𝙗𝙚𝙧.  #OUDNA #BoomerSooner,2021-12-30 05:51:05,Congrats to the Sooners from this Baylor Bear! Always loved the Sooners & my fave Coach Stoops! So glad he came back to lead the team! Best of luck to the 2022 season!! ❤️💛💚,Thank you Mr. Stoops::: for helping O.U. TO WIN::: I hope our new coach can be as good as you.,Way to go::: Coach Stoops!!,Thank you Coach Stoops for stepping up when we needed you and a big congratulations to our beloved Sooners-Well Done! Boomer!!!#boomersooner,Bob Stoops is a leader and has been Sooner strong forever. This Sooner fan loves you and how you stepped up for OU players and fans. You are the best and so happy you saw your son score a TD. One proud Papa. Boomer Sooner !!!,Congrats on a great season! Thank you Coach Stoops for your continued leadership.,Coach Stoops is a Class Act. Thanks for stepping up when we needed you!,Boomer Sooner! You played like Champions! 🏈🏈❤️,Great game and a first bowl game for my birthday boy and our family!!!,CONGRATS 🏈 COACH STOOPS and OU SOONERS. GREAT GAME . THANKS COACH 🏈🏉,Thank you Coach and Congratulations boys! #boomersooner,Can we keep bob stoops for are coach next season!!Awesome job bob stoops your missed!!,STOOPS.. there it is!!! Congrats::: you will ALWAYS be OU football!!! 😍😍,Was great to see Bob on the sidelines one more time.,Thank you Coach Stoops for picking up the pieces!,Loved the game & the band…Hope these girls see the picture I took of them 😊,"Boomer Sooner to the OU Sooner winning the ""Alamo Bowl"":::",Great game! Great win!!,What I was most happy about is that team spirit seemed to permeate the bench. It seemed to be absent the past couple of years,Thanks for coming back::: Coach Stoops!,Thanks Coach Stoops!,I loved it when his son made such a fantastic touchdown! Pure joy!,Congrats to Stoops::: he’s a winner for sure::: I’m sure they were saying to Riley::: “how do you like us now?” Great team and really looking forward to next year. Love me some Sooners,You are a great team::: Boomer Sooners.,Boomer Sooner! Yay! Great game. Thank you Coach Stoops!,Lincoln who???,Congratulations Boomers Sooners,That was awesome that Stoops got to coach his team one more time::: plus his son making a touchdown!!😗😍Love Bob Stoops::: will always be a Sooner Great Coach,Great effort! Good victory for Coach Stoops who volunteered to be there !,CONGRATULATIONS to Coach Stoops and the team. A wonderful win for all.,Congratulations Coach and Sooners!!!,Such a GREAT game. Thank you Coach Stoops for loving OUr SOONERS the way you do. CONGRATULATIONS and SOONER NATION LOVES YOU!!!!!!!!!,Thank you for a great season!,Congratulations Sooners!,So very proud Boomer Sooner,What a great day in sooner history! So proud!!!!!,Great game! Boomer Sooner!🏈,Great game...OU is back!,WHAT A GREAT GAME.,Love ::: Love this game !,Love our Sooners❣️❣️❣️❣️,So Proud Of Our Sooners,Awesome win!!!,Good work Coach Stoops::: I’m not even an OU fan but that was classy!,What a game. Loved it. STOOPS!!,Good job Sooners I agree with Jodie,One more for Coach Stoops! Thank you,So proud to be a Sooner tonight,Congratulations !,What we have with Texas and OSU us a good natured rivalry. But anyone with half a brain HATES the ducks after the last time we played. Even the TV announcers were amazed at the dirty plays by the team and the obvious bias of the officials. I'm just so glad that Bobby Stoops was there to orchestrate the revenge,Coach looked happy to be back.,Congratulations 👏 🎊,A win for the ages!,One for the history books!,Way to go fellow Okie’s!!,Hell of a game!!!,Yeah they are so good :::you have to pay to see them play in a second rate bowl game!!!!,Oklahoma had absolutely no pass rush::: and not much defense::: luckily they won,Congratulations ! Is there any chance Bob Stoops will remain head coach?,Can you watch the game again somehow? I missed it.,Good game,Did real good yes,But OSU beat you!,Good Win OU,My guys!!!! So proud of you all!! Thank you Coach Stoops!!,Was so much fun to watch in person. First of many ou games in person. One to remember indeed,Great game guys. Good start on 2022,Kim Davis,Tony N Jennifer Lippe,Debbie Treat Wilburn,Tony Barnett,Top fan Nanci Hooper,👏👏👏👏👏👏👏👏,🎉,Steven Jackson,Congratulations Boomer Sooner 👏,BOOMER SOONER BABY!!!!!!!!!!! !!!!!!!!!!!!!!!,BOOMER!!!!! Thank you Coach Stoops,Thank you Bob.,Thank you Mr. Stoops.,STOOPS!,What a game!,BOOMER! Thank you coach stoops!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make it count. ☝️  Happy 𝙂𝘼𝙈𝙀 𝘿𝘼𝙔 from San Antonio::: Sooner Nation! Last one of 2021::: so tell us:  Where are you cheering on the Sooners from today? #Boomer ⭕️🙌,2021-12-29 15:23:35,Alamo Dome::: San Antonio!!,Utah BOOMER SOONER!!!!!!,Displaced in StillH2O::: OK! :-D,In duck country — Portland::: Oregon. Let’s do this::: Sooners!,We will be cheering loud and proud in the stands at the Alamodome! #BoomerSoonerBab y,This Boomer Sooner Baby will be watching and cheering loud and proud for her team from Duncan OK!!!,My Sooner is from San Antonio. What a treat to have her home and that we play here tonight!,Tokyo,In person at the Alamo Bowl and from Austin. Boomer!,See you at The Alamo Bowl!,From Steve Owens hometown of Miami::: OK,Tulsa Ok… BOOMER.. will be exciting to see our team and Bob. Hopefully no onside kicks,Even covid can't stop me from seeing my sooners play tonight.. boomer from my hotel room,The Alamo Bowl!!,Alamodome::: San Antonio::: Texas!! Boomer!!,Alamodome in SA! Let’s go Boomer Sooner all day!!!,Sherwood Park Alberta Canada. #Boomer,Here in San Antonio! Boomer Sooner! 🏈,From a little town in Oklahoma called Norman💪,San Antonio!!! Alamo Dome.,Landstuhl::: Germany. Boomer!!!,Colorado Springs! BOOMER!!!,The Alamo Bowl! B🏈🏈🏈🏈🏈🏈MER!,LIVE!!! From Claremore::: Oklahoma!!! Looking forward to watching Big Game Bob on the sidelines!!!,Albuquerque::: NM. BOOMER SoONEr!! Can’t wait for kickoff. This is something special for OU - - 👀 forward::: putting the past behind us. Rebuilding!! Get it done::: boys!! Woo Hoo,Tulsa Oklahoma w my Canadian::: Sooner husband!,Good luck Sooners beat them ducks,Central Florida. BOOMER SOONER!!🏈🏈 Thank you Bob Stoops!!,Orlando FL::: due to cheer nationals.... the Clemson team is staying here as well.,Sulphur::: Oklahoma but my husband and boys are heading there.,From Tujunga California go Sooners 🏈,Tahlequah Oklahoma! BOOMER!!!,Cheering from Maine! Boomer Sooner!🏈⛄️,Go Sooners!! Michie::: Tennessee,In Iowa…post-Chris tmas Covid won’t keep me from watching! Boomer Sooner baby!!!,Chicago::: IL - Boomer!!!,Peachtree City::: GA,Siesta Key in Sarasota::: Florida BOOMER SOONER!!! ☝,BOOMER SOONER from Georgetown::: TX! ❤️🏈,St Louis. B🏈🏈MER!,A nice warm basement in St. Charles Missouri,Boomer Sooner from Round Rock::: Texas!!,Central Virginia #BOOMER,From the nation capital Washington DC,Coos Bay::: Oregon - Sooner,Brentwood TN. Glad Bob is at the helm tonight! Boomer!,Eating Teds chips and queso and watching from my living room in Norman. Let’s go!!!!,Lexington::: Kentucky,Wearing my new OU shirt::: crock pot cooking::: ready in Fort Worth.,Orange Beach AL::: BOOMER SOONER!,Missouri go sooners,Seminole::: Okla BOOMER!!♥️🏈♥️,Fort Greely (Delta Junction) Alaska.,Colorado Springs::: CO. BOOMER!,Cold snowy New Hampshire! Boomer Sooner!,A cabin in Broken Bow::: Oklahoma🏈,Millersburg::: Pennsylvania... ...central PA!!!!! We love the Sooners!!!!!!,Norman::: Oklahoma!,San Antonio! ❤️,St. Cloud::: Minnesota. Boomer!,MWC Oklahoma!!! BOOMER SOONER!!!!,Louisville::: Kentucky!! Boomer!!!,Good ole Lompoc::: CA,Salina Kansas. Go Sooners!,Katy::: Texas....BOOMER SOONERS!!,Cape Girardeau MO Boomer!,Charter Oak::: Iowa,New Martinsville::: West Virginia.. BOOMER!!,Holliday::: TX! BOOMER!!!🏈,West Plains::: MO. BOOMER!!!!,New Hampshire::: BOOMER!!,Waco::: Texas! BOOMER!!!,Broken Arrow::: Oklahoma,Crystal Beach::: Tx!! BOOMER!,BOOMER SOONER BABY!!!!!!!!!!! !!!!!!!!!!!!!!! !!!,Bokoshe::: Oklahoma Boomer!,Akron::: Ohio Boomer!,Austin TX,From the east bay in northern California! Boomer Sooner!,Augusta::: Ks…. SOONERS 🏈🏈,Down the street from the Palace::: aka Home. BOOMER!!!,Kingsland::: Georgia,Bryant::: Arkansas…BOOMER 💥,San Antonio TX,Comanche Oklahoma,The Colony::: Texas,Riverside::: CA,wow the game starts late,Newnan::: Georgia!,Lakeway::: Tx… Boomer..,Frisco::: Tx,Norman::: Oklahoma,Annapolis::: Maryland,Just across the OK border in Alma::: Arkansas,Syracuse NY,GO SOONERS!!!!!!! Make feathers out of the Ducks!!!!,Colorado-my son is a Senior at OU! Go Sooners!,Sioux City::: Iowa!!!,Marco Island Florida!,Oregon,Knoxville::: TN!,Boomer Tecumseh Ok,Colleyville TX!!,Kingston Oklahoma G🏈🏈🏈🏈🏈🏈🏈. S🏈🏈NERS,Fort Myers:::Florida,Buffalo::: New York! #Boomer,Northern Virginia,Tampa::: FL!,Mescalero::: New Mexico,Madison::: Wisconsin,Wichita Kansas,Effingham:::IL,Maui,I will be in the stands cheering on my SOONERS. Let's do this,Kansas City,Bastrop Texas,Texas boomer,Clearlake::: California,I’ll be live from my couch.,Cortina d’Ampezzo Italy.,Alamodome::: SANANTONIO,Section 339::: Row 7,💰,🏈❤,🇨🇦,South Dakota! Boomer Sooner!,Alamodome::: San Antonio::: Texas! Boomer Sooner!,Wichita:::Ks. BOOMER SOONER!!!! LET'S GO BOYS!!!!,Moore Oklahoma,Skiatook::: Oklahoma,Reading Pa. Sooner fan for 55 years,Bed,Boomer Sooner!! Tularosa::: NM,Lawton GO SOONERS,San Antonio! Boomer!,Chickasha oklahoma!! Go Sooners!!,Cheering on the SOONERS from St Louis!!,Cozumel::: MX! Boomer!!!,Alamo Dome!!,Kansas! Boomer!!,Maine Boomer Sooner Fan since 1955..,Wilburton::: Oklahoma!!! Boomer Sooners!!!,The Alamo Dome!,Let’s go!! Boomer Sooner!,Arkansas::: Boomer Sooner!!,Minnesota BOOMER SOONERS <3,Apache::: Ok Boomer Sooner🏈,Go'n duck Hunting::: BOOMER!!!,Santiago Chile 🇨🇱 Boomer Sooner!,BOOMER SOONER from Lutherville::: MD🏈🏈🏈❤❤,Go Sooners !,Catoosa OK. Let’s get it done. BOOMER SOONER,Boomer SoONEr from Lexington SC,From San Antonio!!!!!!,BOOMER SOONER from Prague::: OK! ❤️🏈❤️,Manama Bahrain BOOMER SOONERS,Arizona::: Boomer Sooner!,Boomer Sooner Nation from San Angelo Texas,Mustang:::OK !! Boomer !!!!,Lacey::: Washington. Boomer Sooners ❤️🤍🏈,Go Sooners,San Diego! Boomer!,Broken Arrow!,Lexington OK. BOOMER,Boomer!,Norman::: OK…BOOMER SOONER!,Inside the Alamodome.,The Alamodome!!!!,Kingston:::Oklaho ma,Hominy::: Oklahoma…Boomer !!,Texas!! Boomersooner🏈,South Elgin::: IL,Minnesota!!! BOOMER!!!!!,Sacramento::: CA!! BOOMER!,Clarkston::: Michigan. BOOMER!,Poplar Bluff Mo. Boomer!!,Woohooo!! Boomer!!,Goddard::: Kansas. Boomer!,Oklahoma!!! BOOMER SOONER 🏈❤ OU!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OU Housing and Residence Life 28 December 2021 г.::: 12:00 ·  #OU2026::: while you've got some extra time over winter break::: make sure to apply for housing at link.ou.edu/myhousingandfood! We can't wait to see you on campus! ☝️,2021-12-28 18:01:11,Gee::: housing looks the same as it did in 1982 when I graduated!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost that time… ⌚️  See you tomorrow::: Sooner Nation! ⭕️🙌  Oklahoma Football with OERB - Oklahoma Energy Resources Board. Paid Partnership ·  One more time in 2021.  #BoomerSooner,2021-12-28 15:16:30,Sooo ready to watch my Sooners WIN 🏆 I so love ❤ my Sooners!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Kwanzaa to our OU family! Wishing warmth and light this season to all who celebrate. 🕯,2021-12-26 15:18:14,Why Kwanzaa is Happy Kwanzaa while Christmas is Happy Holidays?!!!,Thank you 🙏🏾 Happy Kwanzaa 🖤❤️💚,Can anybody tell me how many shoplifting days there are until Kwanzaa?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishing a happy holidays and a very Merry Christmas to those who celebrate in our OU family! May your day be filled with joy. ❤️🎄,2021-12-25 14:25:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations are in order for Jeanne Hayes::: associate dean of student affairs and assistant professor in the Department of Pediatrics at the OU-Tulsa School of Community Medicine::: for receiving the 2021 Stanton L. Young Master Teacher Award.  Read more: https://link.ou.edu/3JemNTD,2021-12-23 18:24:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An English professor at OU::: award-winning poet::: and now an accomplished novelist! 📚  Honorée Fanonne Jeffers' debut novel 𝘛𝘩𝘦 𝘓𝘰𝘷𝘦 𝘚𝘰𝘯𝘨𝘴 𝘰𝘧 𝘞.𝘌.𝘉. 𝘋𝘶 𝘉𝘰𝘪𝘴 as been selected by Oprah and featured in Oprah's Book Club.  Learn more by visiting https://link.ou.edu/3yYHgao.,2021-12-22 16:15:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more than two decades::: the United World College’s Davis Scholarship has given countless opportunities to international students looking to continue their education abroad.  OU showcases that success well with a record-high 285 enrolled students hailing from 107 countries. One of those students is OU junior Marien Lopéz-Medina.  Her story: https://link.ou.edu/32adGCT,2021-12-21 19:23:03,Reading I 1 Sm 1:24-28  In those days::: Hannah brought Samuel with her::: along with a three-year-old bull::: an ephah of flour::: and a skin of wine::: and presented him at the temple of the LORD in Shiloh. After the boy’s father had sacrificed the young bull::: Hannah::: his mother::: approached Eli and said: “Pardon::: my lord! As you live::: my lord::: I am the woman who stood near you here::: praying to the LORD. I prayed for this child::: and the LORD granted my request. Now I::: in turn::: give him to the LORD; as long as he lives::: he shall be dedicated to the LORD.” She left Samuel there.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma Sooners 21 December 2021 г.::: 12:00 ·  With a degree from The University of Oklahoma::: you can do 𝘢𝘯𝘺𝘵𝘩𝘪𝘯𝘨.  #SoonersForLife #BoomerSooner,2021-12-21 19:16:00,Also have a degree from O U and it has served me well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec. 21 serves as the shortest day of the year with an early sunset::: marking today as the 𝙤𝙛𝙛𝙞𝙘𝙞𝙖𝙡 start of winter.  Meanwhile::: we'll be eagerly waiting for campus to look like this again. Happy first day of winter::: OU! ❄️,2021-12-21 16:08:21,Frank Trzaska,No.,I miss winter at OU so much. 😉,I miss walking through the beautiful snowy campus.,Winter at OU is spectacular as always! This reminds me of so many memories I had while studying here <3,Hunter Woods 😍😍😍,Mia Nissa Corres,Such a beautiful campus!!!,Merry Christmas,Such a pretty campus and very friendly people.,😍,Spencer Crichton campus looks like this once every 10 years lol,David Wong,Beautiful!!,Beautiful,These are postcard level quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
