The Virginia Tech community is invited to join President Tim Sands for his sixth State of the University Address on Wednesday::: Jan. 19 at 1:30 p.m.  The address will take place at the Moss Arts Center::: Virginia Tech with a virtual option for those who are unable to attend in person.  Get all the details. ⬇️  WED::: JAN 19 AT 10:30 AM PST 2022 State of the University Address,2022-01-04 15:31:56,I think President Sands needs to address how Virginia Tech is going to waste all these precious Covid tests on the unvaccinated BUT healthy? This is not fiscally responsible or even scientifically responsible. Testing of the asymptomatic goes against what the CDC says and now::: there are no tests to be found anywhere for those that TRULY need it.  I don’t really need anybody to comment on my comment - as a parent or student or alumni or employee or pro-vax or anti-vax or just plain monetary donor::: you should have the same exact question!,Moss Arts Center::: Virginia Tech::: Institute for Creativity::: Arts::: and Technology - ICAT & Virginia Tech College of Architecture and Urban Studies collaborated to terminate my employment for reporting being sexually assaulted by senior faculty emeritus Virginia Tech School of Visual Arts Ray Kass::: and covered it all up. https:// docs.google.com/ document/d/e/ 2PACX-1vStYq3gIW FqLv9a2NKYhZTTc H4CLPV4cjcvSlqb MFV3cOV14unzmUR 8lS4gBp7M23LElT cMTaSI7q8t/pub,Read what the new attorney general elect said. Time for VT to drop mandates GOVERNOR-ELECT YOUNGKIN AND ATTORNEY GENERAL-ELECT MIYARES TO CHALLENGE CENTERS FOR MEDICARE & MEDICAID SERVICES’ VACCINE MANDATE  RICHMOND::: VA – Governor-elect Glenn Youngkin and Attorney General-elect Jason Miyares today announced their intent to challenge the unconstitutiona l vaccine mandate imposed by President Biden’s Centers for Medicare & Medicaid Services (CMS).  “The COVID-19 pandemic has caused heartbreaking health::: societal::: and economic loss and suffering throughout the Commonwealth and the United States. Our children have experienced severe learning loss and developmental challenges that will last decades::: strained and stressed hospital systems are suffering from an historic staffing crisis::: and a crippled supply chain has driven up Virginians’ cost of living.  “Instead of supporting state and local governments’ efforts to protect the lives and livelihoods of their citizens::: the Biden administration has resorted to unlawful vaccine mandates that force hardworking Virginians to walk away from their paychecks. President Biden's CMS mandate::: ignores the hospital systems' long-establishe d policies designed to keep staff and patients safe and threatens the tenure of essential medical personnel at a time when staffing shortages threaten the health and safety of Virginians.  “While we believe that the vaccine is a critical tool in the fight against COVID-19::: we strongly believe that the Federal government cannot impose its will and restrict the freedoms of Americans and that Virginia is at its best when her people are allowed to make the best decisions for their families or businesses.  “After the January 15th inauguration::: the Commonwealth of Virginia will quickly move to protect Virginians’ freedoms and challenge President Biden’s unlawful CMS::: OSHA::: and Head Start vaccine mandates. Removing some of the staffing barriers to our hospitals::: will provide much needed relief for our overworked medical professionals.”,this place is magic at any season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After enduring a series of professional and personal trials::: Bart Butler '84 had worked his way into building a “mini little real estate empire."" But in 2008::: the real estate market tanked — and the Butlers lost everything.  He eventually rebuilt by relying on his Virginia Tech education and the confidence it gave him. Today::: Butler offers his knowledge in the construction industry to Hokies interested in pursuing careers in that space. 🏠🏗️  VTX.VT.EDU Alumnus finds redemption in life journey",2022-01-07 19:35:01,Great article and great life journey Bart!,A wayward brain cell is thinking that Bart was a RA in Femoyer in the early 80s - and what a nice guy!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a student::: Stephen Woltz learned the art of communication through his degree from the Virginia Tech College of Liberal Arts and Human Sciences. Outside of the classroom he was learning another art – wrestling. 🤼‍♂️  Woltz::: now a world champion::: reflects on his time at Virginia Tech: ""It was a place that felt like home.""  VTX.VT.EDU High-flying Hokie alumnus soars in All Elite Wrestling",2022-01-06 17:44:03,Mike Burke,Stephen Woltz is a class act. He and his girlfriend::: now his wife::: actually came to visit our son with CP when he found out that he loved wrestling and wanted to meet him. My husband::: ironically::: taught Stephen's dad years ago::: long before we moved away::: but they did not put together that connection until after the visit in our home. We are honored to know such an outstanding family and great wrestler. Since our daughter is a VT graduate::: too::: she was especially proud that he took time out of his busy schedule to make her brother's day. He is a great Hokie and a talented wrestler.,Proud to be a Hokie!!,Thought that was Chris Benoit,Brian Perry,Nathan Hale,Jesse Isserow Dan Kramer,Matt,Love Hangman Adam Page!,What did he major in? Did he graduate?,Deborah Wiles Dennis have you seen this article?? 😊,Stormi Woltz,😮,Tara Seate Beck,Matt are you familiar with this guy?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech added 14 new photos. January 6 at 10:55 AM · More options  David Calhoun::: Virginia Tech Alumni and President and CEO of the Boeing Company::: recently visited with students in the Calhoun Honors Discovery Program during their Junior Design Studio Showcase. 🤖⬇️  Learn more about the program: https://fal.cn/3l7Xv,2022-01-06 15:55:41,Sam Slopey!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In anticipation of potential wintry weather::: snow routes will go into effect on Jan. 6 at 5 p.m. on our Blacksburg campus. Please remember to move your car if you're parked on a campus snow route. 🚘❄️  Learn more ⬇️  VTX.VT.EDU Snow emergency routes on Blacksburg campus begin Jan. 6 at 5 p.m.,2022-01-05 22:03:01,Update: Snow routes have been lifted.,Years ago::: we trudged across the drill field in 20 inches of snow... learning does not stop for weather🤓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy National Bird Day to our favorite feathered friend 🦃🧡,2022-01-05 19:00:30,We love you !!!!,Happy Birthday Hokie Bird,Love the Hokie Bird,Love the Hokie bird,David Young,Tommy Whitley,HAPPY BIRTHDAY HOKIE BIRD!!🎈🎈🎈❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can individuals feel connected through dance? Professor Julia Basso's research on the clinical utility of dance for individuals with autism spectrum disorder has found increased connection::: synchronus brain signals::: and a deeper understanding of one another. 🧠💃,2022-01-05 15:00:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
That first snow magic ✨❄️,2022-01-04 14:09:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In case you had any doubts::: campus is still magical in the snow ❄️✨,2022-01-03 19:19:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT Alerts (NRV): Weather Advisory: Blacksburg campus closed Monday::: Jan. 3 until noon.  Campus locations in the greater Washington::: D.C. metro area will be closed on Monday::: Jan. 3. Remote work is encouraged for the Virginia Tech Research Center - Arlington.  For course and work information::: visit vt.edu/status.  VT.EDU University Status,2022-01-03 00:47:20,So wait. Y'all close the campus for dangerous roads::: but not for this huge::: dangerous covid spike? Why are you setting your students up for failure as they will get sick and fall behind in class? For teachers to get sick and not be able to teach effectively?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
